model,solver_ability,solver_se,solver_rank,judge_ability,judge_se,judge_rank,rank_gap_solver_minus_judge,judge_pred_from_solver_linear,judge_residual_vs_linear,judge_solver_ability_gap
Qwen3.5 27B,-0.432,0.193,3.0,1.52,0.004,1.0,2.0,0.7580984045209755,0.7619015954790245,1.952
Mistral 8B,-1.092,0.208,7.0,0.694,0.002,4.0,3.0,0.5359317710353441,0.1580682289646559,1.786
Mistral 3B,-1.428,0.22,9.0,0.513,0.003,8.0,1.0,0.4228287576244772,0.09017124237552282,1.9409999999999998
Claude Haiku 4.5,0.647,0.269,2.0,1.093,0.03,3.0,-1.0,1.1213071886588488,-0.028307188658848847,0.44599999999999995
Mistral 14B,-0.652,0.248,6.0,0.633,0.021,5.0,1.0,0.6840428600257651,-0.05104286002576508,1.2850000000000001
Qwen3.5 0.8B,-1.886,0.217,10.0,0.155,0.109,9.0,1.0,0.2686585786299026,-0.11365857862990261,2.041
Claude Sonnet 4.6,2.171,0.202,1.0,1.509,0.023,2.0,-1.0,1.6343101423438522,-0.1253101423438523,-0.6619999999999999
Qwen3.5 4B,-0.621,0.2,5.0,0.525,0.025,7.0,-2.0,0.6944779594773629,-0.16947795947736288,1.146
Qwen3.5 9B,-0.576,0.21,4.0,0.528,0.024,6.0,-2.0,0.7096256844877469,-0.18162568448774685,1.104
Qwen3.5 2B,-1.36,0.218,8.0,0.105,0.004,10.0,-2.0,0.445718653195724,-0.34071865319572403,1.465
