domain,role,label,fit,heldout_auc_mean,heldout_auc_sd,aic,heldout_ece_mean,heldout_ece_sd,heldout_log_likelihood_mean,heldout_log_likelihood_sd,bic,best_by_auc,best_by_aic
mmlu,solver,MMLU solver,1pl_regular,0.7282132029533386,0.0186409199309286,1616.8486328125,0.1411987803023277,0.0327506356821998,-0.7142174243927002,0.0823233651927608,2471.906635343957,True,True
mmlu,solver,MMLU solver,1pl_item_marginal_mmle,0.7246650099754334,0.0238956566600672,1640.1317138671875,0.1151301419677161,0.020045401678508,-0.6247463226318359,0.039365055624675,1670.5012398913238,False,False
mmlu,solver,MMLU solver,2pl_regular,0.7060961961746216,0.0428836939497682,1700.4033203125,0.1814428699367629,0.0348039098550473,-1.414033555984497,0.3560533213014933,3358.381642294228,False,False
mmlu,solver,MMLU solver,2pl_item_marginal_mmle,0.7003113269805908,0.0183321869259695,1675.765625,0.109105693207657,0.0160919160070529,-0.6365432381629944,0.0071810664540852,1706.1351510241363,False,False
mmlu,solver,MMLU solver,3pl_regular,0.6899657487869263,0.0146384972657868,1959.2109375,0.2086237436306795,0.0162908977559561,-1.4524759769439697,0.2186920425636914,4420.109578931999,False,False
mmlu,solver,MMLU solver,3pl_item_marginal_mmle,0.7003113269805908,0.0183321869259695,1699.199951171875,0.146924938233345,0.0156296982481196,-0.6599225282669068,0.0078444681389545,1729.5694771960111,False,False
mmlu,judge,MMLU judge,1pl_regular,0.8071152925491333,0.0177016926499549,3024.619873046875,0.08049581048333,0.0091199032576957,-0.5687748908996582,0.0322279330309599,4942.083082547057,False,False
mmlu,judge,MMLU judge,1pl_item_marginal_mmle,0.8051924586296082,0.02000980226878,3991.87255859375,0.0589107193002445,0.0135168660928997,-0.5108135938644409,0.024907680238455,4029.173556423486,False,False
mmlu,judge,MMLU judge,2pl_regular,0.8147981762886047,0.0391994143522246,2959.930419921875,0.1034115072054907,0.0163185220533677,-0.8286514401435852,0.0900923541440117,6734.55925371783,False,True
mmlu,judge,MMLU judge,2pl_item_marginal_mmle,0.5883054614067078,0.0286435072835288,3341.48193359375,0.1713042981614055,0.0134225762011218,-0.6849535942077637,0.0046252986505191,3378.782931423486,False,False
mmlu,judge,MMLU judge,3pl_regular,0.8218842625617981,0.0303833444118454,3494.4482421875,0.1053512958027709,0.0210582870828015,-0.7797002196311951,0.1349370082028785,9126.242700279228,True,False
mmlu,judge,MMLU judge,3pl_item_marginal_mmle,0.5870863914489746,0.026399517305029,3300.12109375,0.1208904841911292,0.0135350986974141,-0.6554986596107483,0.0052370308874752,3337.422091579736,False,False
kudge,solver,Kudge solver,1pl_regular,0.8036282777786254,0.0127297575116983,4116.5205078125,0.0827766961544805,0.0075166319666072,-0.5621453166007996,0.0173837471898357,6602.072809799128,False,True
kudge,solver,Kudge solver,1pl_item_marginal_mmle,0.8085002303123474,0.0105419067587709,5128.5986328125,0.059040829328764,0.0027043000818094,-0.5098766505718231,0.0121255315433877,5171.969425938893,True,False
kudge,solver,Kudge solver,2pl_regular,0.7872343063354492,0.0232030638236428,4138.806884765625,0.1316759463545142,0.020888687357857,-1.2394164681434632,0.2697318458653733,9040.163847611704,False,False
kudge,solver,Kudge solver,2pl_item_marginal_mmle,0.7213262438774108,0.0119869911982839,4549.61572265625,0.1654197004792172,0.0114164028751362,-0.6412771344184875,0.0034020739316391,4592.986515782643,False,False
kudge,solver,Kudge solver,3pl_regular,0.7865950226783752,0.0217226376305269,4654.95263671875,0.1329958824091377,0.0240893014137939,-1.0874792218208311,0.1582510262878092,11972.11426042428,False,False
kudge,solver,Kudge solver,3pl_item_marginal_mmle,0.7213262438774108,0.0119869911982839,4511.3642578125,0.1266244555810406,0.0094693251272019,-0.615583086013794,0.0037081145024005,4554.735050938893,False,False
kudge,judge,Kudge judge,1pl_regular,0.7169826030731201,0.0201712616914141,4656.828369140625,0.0947994973354929,0.0170187394935089,-0.6287493467330932,0.0242362735695014,7142.380671127253,False,True
kudge,judge,Kudge judge,1pl_item_marginal_mmle,0.7193072080612183,0.0180132467153882,5461.185546875,0.0687827421475922,0.0120916406031575,-0.5764333963394165,0.0141123541079805,5504.556340001393,True,False
kudge,judge,Kudge judge,2pl_regular,0.7090604305267334,0.0168931033847858,4771.25439453125,0.1467102890299631,0.014905546309168,-1.2953824996948242,0.1649010672923195,9672.61135737733,False,False
kudge,judge,Kudge judge,2pl_item_marginal_mmle,0.6857895135879517,0.0279808527421508,4971.0703125,0.1846891813151461,0.0088773072050388,-0.6594048380851746,0.008561691654459,5014.441105626393,False,False
kudge,judge,Kudge judge,3pl_regular,0.6972973704338074,0.0217685893204338,5448.64111328125,0.1672124599759882,0.0111624387238258,-1.2543668031692503,0.1523566240858733,12765.80273698678,False,False
kudge,judge,Kudge judge,3pl_item_marginal_mmle,0.6869408369064331,0.0277471402617532,4904.234375,0.1351548375713066,0.0095054074881412,-0.6274517178535461,0.0073621352315495,4947.605168126393,False,False
safety,solver,Safety solver,1pl_regular,0.8981746673583985,0.0049490889240916,4024.498046875,0.0518996626358317,0.0037059880868337,-0.3026373744010925,0.0084285897220497,9836.241567299983,False,True
safety,solver,Safety solver,1pl_item_marginal_mmle,0.911335802078247,0.0083475929602737,7108.423828125,0.0499603173870646,0.0052079339503115,-0.2588133633136749,0.0049116794868594,7155.504668963531,True,False
safety,solver,Safety solver,2pl_regular,0.8899563908576965,0.0078074119185918,4666.157470703125,0.0814847807539354,0.0047363204919088,-0.6520208477973938,0.0445341562779406,16219.539040860396,False,False
safety,solver,Safety solver,2pl_item_marginal_mmle,0.8503777980804443,0.0134583368855556,6429.87890625,0.3538134099853167,0.0042940835588903,-0.6443926572799683,0.0061416373991683,6476.959747088531,False,False
safety,solver,Safety solver,3pl_regular,0.8847999811172486,0.010938802187126,6089.29443359375,0.0772165796326267,0.0056033597778811,-0.5607790946960449,0.0670286074265969,23384.314053483304,False,False
safety,solver,Safety solver,3pl_item_marginal_mmle,0.8503777980804443,0.0134583368855556,6285.80078125,0.3036495405579308,0.0042050143364729,-0.5781001806259155,0.0057520191657341,6332.881622088531,False,False
safety,judge,Safety judge / HarmMetricEval,1pl_regular,0.8352963328361511,0.0418137113560236,9460.0625,0.1476377859404644,0.0185913280051827,-0.7323081970214844,0.1150563321567307,10102.524785369871,True,False
safety,judge,Safety judge / HarmMetricEval,1pl_item_marginal_mmle,0.8248441815376282,0.0382182822285793,13227.630859375,0.1123559306347438,0.0174879226708518,-0.5542675375938415,0.0715704274637299,13255.252598722978,False,False
safety,judge,Safety judge / HarmMetricEval,2pl_regular,0.8312298774719238,0.028150197099334,7143.92431640625,0.1641277973747085,0.0209471696249868,-0.8045692443847656,0.123086517649093,8378.261305620805,False,False
safety,judge,Safety judge / HarmMetricEval,2pl_item_marginal_mmle,0.8171740293502807,0.0318128783249243,1264.320068359375,0.1489403794177921,0.0175117915494188,-0.5738942980766296,0.0158828862328138,1291.9418077073526,False,True
safety,judge,Safety judge / HarmMetricEval,3pl_regular,0.8304599761962891,0.0268972926680513,1403.0698852539062,0.1322144578638711,0.0140788685457505,-0.844855535030365,0.1243227174441765,3229.281578313144,False,False
safety,judge,Safety judge / HarmMetricEval,3pl_item_marginal_mmle,0.8217835307121277,0.0347739393603942,1322.006591796875,0.1913517835474512,0.0132687970331403,-0.6172674179077149,0.0145967218418272,1349.6283311448526,False,False
