Domain,Model,Solver Ability,Solver SE,Judge Ability,Judge SE,Solver Rank,Judge Rank
MMLU,Claude Sonnet 4.6,2.171,0.202,1.509,0.023,1,2
MMLU,Claude Haiku 4.5,0.647,0.269,1.093,0.03,2,3
MMLU,Qwen3.5 27B,-0.432,0.193,1.52,0.004,3,1
MMLU,Qwen3.5 9B,-0.576,0.21,0.528,0.024,4,6
MMLU,Qwen3.5 4B,-0.621,0.2,0.525,0.025,5,7
MMLU,Mistral 14B,-0.652,0.248,0.633,0.021,6,5
MMLU,Mistral 8B,-1.092,0.208,0.694,0.002,7,4
MMLU,Qwen3.5 2B,-1.36,0.218,0.105,0.004,8,10
MMLU,Mistral 3B,-1.428,0.22,0.513,0.003,9,8
MMLU,Qwen3.5 0.8B,-1.886,0.217,0.155,0.109,10,9
KUDGE,Claude Opus 4.7,3.787,0.157,4.129,0.145,1,1
KUDGE,Claude Sonnet 4.6,3.29,0.233,2.371,0.312,2,2
KUDGE,Claude Haiku 4.5,2.268,0.201,1.967,0.161,3,3
KUDGE,Qwen3.5 27B,1.532,0.127,0.203,0.117,4,10
KUDGE,Mistral 14B,1.4,0.131,1.33,0.127,5,4
KUDGE,Mistral 8B,0.97,0.137,1.11,0.122,6,5
KUDGE,Qwen3.5 9B,0.668,0.137,0.395,0.117,7,8
KUDGE,Qwen3.5 4B,0.651,0.139,0.368,0.121,8,9
KUDGE,Mistral 3B,0.472,0.127,1.018,0.123,9,6
KUDGE,Qwen3.5 2B,-0.059,0.128,0.931,0.118,10,7
KUDGE,Qwen3.5 0.8B,-1.181,0.128,-0.131,0.117,11,11
Safety,Claude Haiku 4.5,1.58,0.826,-0.184,0.005,1,6
Safety,Qwen3.5 4B,1.544,0.96,-0.085,0.868,2,5
Safety,Qwen3.5 27B,1.076,0.813,0.401,0.04,3,1
Safety,Claude Sonnet 4.6,0.923,0.619,0.12,0.046,4,2
Safety,Qwen3.5 2B,0.856,0.459,-3.478,0.012,5,10
Safety,Qwen3.5 9B,0.844,0.677,-0.841,0.105,6,7
Safety,Qwen3.5 0.8B,-0.904,0.173,-2.988,0.137,7,9
Safety,Mistral 14B,-1.879,0.356,-0.038,0.011,8,3
Safety,Mistral 3B,-1.976,0.5,-1.33,1.269,9,8
Safety,Mistral 8B,-2.065,0.412,-0.056,0.231,10,4
