Domain,Role,Specification,AUC (mean),AUC (sd),AIC,Best by AUC,Best by AIC
MMLU,Solver,1PL JMLE,0.728,0.019,1616.8,True,True
MMLU,Solver,1PL MMLE,0.725,0.024,1640.1,False,False
MMLU,Solver,2PL JMLE,0.706,0.043,1700.4,False,False
MMLU,Solver,2PL MMLE,0.7,0.018,1675.8,False,False
MMLU,Solver,3PL JMLE,0.69,0.015,1959.2,False,False
MMLU,Solver,3PL MMLE,0.7,0.018,1699.2,False,False
MMLU,Judge,1PL JMLE,0.807,0.018,3024.6,False,False
MMLU,Judge,1PL MMLE,0.805,0.02,3991.9,False,False
MMLU,Judge,2PL JMLE,0.815,0.039,2959.9,False,True
MMLU,Judge,2PL MMLE,0.588,0.029,3341.5,False,False
MMLU,Judge,3PL JMLE,0.822,0.03,3494.4,True,False
MMLU,Judge,3PL MMLE,0.587,0.026,3300.1,False,False
KUDGE,Solver,1PL JMLE,0.804,0.013,4116.5,False,True
KUDGE,Solver,1PL MMLE,0.809,0.011,5128.6,True,False
KUDGE,Solver,2PL JMLE,0.787,0.023,4138.8,False,False
KUDGE,Solver,2PL MMLE,0.721,0.012,4549.6,False,False
KUDGE,Solver,3PL JMLE,0.787,0.022,4655.0,False,False
KUDGE,Solver,3PL MMLE,0.721,0.012,4511.4,False,False
KUDGE,Judge,1PL JMLE,0.717,0.02,4656.8,False,True
KUDGE,Judge,1PL MMLE,0.719,0.018,5461.2,True,False
KUDGE,Judge,2PL JMLE,0.709,0.017,4771.3,False,False
KUDGE,Judge,2PL MMLE,0.686,0.028,4971.1,False,False
KUDGE,Judge,3PL JMLE,0.697,0.022,5448.6,False,False
KUDGE,Judge,3PL MMLE,0.687,0.028,4904.2,False,False
Safety,Solver,1PL JMLE,0.898,0.005,4024.5,False,True
Safety,Solver,1PL MMLE,0.911,0.008,7108.4,True,False
Safety,Solver,2PL JMLE,0.89,0.008,4666.2,False,False
Safety,Solver,2PL MMLE,0.85,0.013,6429.9,False,False
Safety,Solver,3PL JMLE,0.885,0.011,6089.3,False,False
Safety,Solver,3PL MMLE,0.85,0.013,6285.8,False,False
Safety,Judge,1PL JMLE,0.835,0.042,9460.1,True,False
Safety,Judge,1PL MMLE,0.825,0.038,13227.6,False,False
Safety,Judge,2PL JMLE,0.831,0.028,7143.9,False,False
Safety,Judge,2PL MMLE,0.817,0.032,1264.3,False,True
Safety,Judge,3PL JMLE,0.83,0.027,1403.1,False,False
Safety,Judge,3PL MMLE,0.822,0.035,1322.0,False,False
