model,solver_ability,solver_se,judge_ability,judge_se,solver_rank,judge_rank,rank_gap
claudeopus47,3.787,0.157,4.129,0.145,1.0,1.0,0.0
claudesonnet46,3.29,0.233,2.371,0.312,2.0,2.0,0.0
claudehaiku45,2.268,0.201,1.967,0.161,3.0,3.0,0.0
qwen3527b,1.532,0.127,0.203,0.117,4.0,9.0,-5.0
ministral8b,0.97,0.137,1.11,0.122,5.0,4.0,1.0
qwen359b,0.668,0.137,0.395,0.117,6.0,7.0,-1.0
qwen354b,0.651,0.139,0.368,0.121,7.0,8.0,-1.0
ministral3b,0.472,0.127,1.018,0.123,8.0,5.0,3.0
qwen352b,-0.059,0.128,0.931,0.118,9.0,6.0,3.0
qwen3508b,-1.181,0.12,-0.131,0.117,10.0,10.0,0.0
