model,solver_ability,solver_se,judge_ability,judge_se,solver_rank,judge_rank,rank_gap
Sonnet 4.6,2.171,0.202,1.509,0.023,1.0,2.0,-1.0
Haiku 4.5,0.647,0.269,1.093,0.03,2.0,3.0,-1.0
Qwen3.5 27B,-0.432,0.193,1.52,0.004,3.0,1.0,2.0
Qwen3.5 9B,-0.576,0.21,0.528,0.024,4.0,6.0,-2.0
Qwen3.5 4B,-0.621,0.2,0.525,0.025,5.0,7.0,-2.0
Mistral 14B,-0.652,0.248,0.633,0.021,6.0,5.0,1.0
Mistral 8B,-1.092,0.208,0.694,0.002,7.0,4.0,3.0
Qwen3.5 2B,-1.36,0.218,0.105,0.004,8.0,10.0,-2.0
Mistral 3B,-1.428,0.22,0.513,0.003,9.0,8.0,1.0
Qwen3.5 0.8B,-1.886,0.217,0.155,0.109,10.0,9.0,1.0
