,Safety,,,,,,,,,,,,,,,,,,
,Solver (1PL MMLE),,,Judge (3PL JMLE),,,,,,,,,,,,,,,
,Model Name,Model Ability,Std Error,Model Name,Model Ability,Std Error,,,,,,,,,,,,,
,Haiku 4.5,1.58,0.826,Qwen 27B,0.401,0.04,,,,,,,,,,,,,
,Qwen 4B,1.544,0.96,Sonnet 4.6,0.12,0.046,,,,,,,,,,,,,
,Qwen 27B,1.076,0.813,Mistral 14B,-0.038,0.011,,,,,,,,,,,,,
,Sonnet 4.6,0.923,0.619,Mistral 8B,-0.056,0.231,,,,,,,,,,,,,
,Qwen 2B,0.856,0.459,Haiku 4.5,-0.184,0.005,,,,,,,,,,,,,
,Qwen 9B,0.844,0.677,Qwen 4B,-0.085,0.868,,,,,,,,,,,,,
,Qwen 0.8B,-0.904,0.173,Qwen 9B,-0.841,0.105,,,,,,,,,,,,,
,Mistral 14B,-1.879,0.356,Mistral 3B,-1.33,1.269,,,,,,,,,,,,,
,Mistral 3B,-1.976,0.5,Qwen 2B,-3.478,0.012,,,,,,,,,,model,1pl_item_marginal_mmle,1pl_item_marginal_mmle_boot_se,
,Mistral 8B,-2.065,0.412,Qwen 0.8B,-2.988,0.137,,,,,,,,,,0,claude_haiku_4_5_20251001,1.58,0.826
,,,,,,,,,,,,,,,,1,qwen_qwen3_5_4b,1.544,0.96
,,,,,,,,,,,,,,,,2,qwen_qwen3_5_27b,1.076,0.813
,,,,,,,,,,,,,,,,3,claude_sonnet_4_6,0.923,0.619
,,,,,,,,,,,,,,,,4,qwen_qwen3_5_2b,0.856,0.459
,,,,,,,,,,,,,,,,5,qwen_qwen3_5_9b,0.844,0.677
,,,,,,,,,,,,,,,,6,qwen_qwen3_5_0_8b,-0.904,0.173
,,,,,,,,,,,,,,,,7,mistralai_ministral_3_14b_instruct_2512,-1.879,0.356
,,,,,,,,,,,,,,,,8,mistralai_ministral_3_3b_instruct_2512,-1.976,0.5
,,,,,,,,,,,,,,,,9,mistralai_ministral_3_8b_instruct_2512,-2.065,0.412
