model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank
claude_sonnet_4_6,0.819078947368421,304,2.874216,0.7699373,1.5089664,0.58315426,1.3986751,0.5846713,1,1,2,1,1,1
qwen_qwen3_5_27b,0.7792207792207793,308,2.485592,0.5255586,1.5201943,0.41895646,0.91997445,0.43061852,2,2,1,2,2,2
claude_haiku_4_5_20251001,0.6915584415584416,308,1.7814713,0.07184297,1.0927907,0.12953763,0.85889566,0.1278922,3,3,3,3,3,3
qwen_qwen3_5_9b,0.6785714285714286,308,1.6833391,0.0116418,0.5280894,0.019883052,0.14199588,0.0347621,4,4,6,4,7,4
mistralai_ministral_3_14b_instruct_2512_bf16,0.6525974025974026,308,1.4914482,-0.10509646,0.6329644,-0.030213892,0.3707418,-0.021493837,5,7,5,6,5,5
qwen_qwen3_5_4b,0.6525974025974026,308,1.4907441,-0.10509634,0.5246421,-0.060419023,0.15724447,-0.03368573,6,6,7,7,6,7
mistralai_ministral_3_8b_instruct_2512_bf16,0.6525974025974026,308,1.4835145,-0.1050961,0.6936148,-0.02531682,0.44229144,-0.028968424,7,5,4,5,4,6
mistralai_ministral_3_3b_instruct_2512_bf16,0.6501650165016502,303,1.4787083,-0.11580753,0.5126493,-0.09167161,0.11186568,-0.07965856,8,8,8,8,8,8
qwen_qwen3_5_0_8b,0.5844155844155844,308,1.0017486,-0.39463317,0.15506259,-0.41232878,-0.5694306,-0.45231122,9,9,9,9,9,9
qwen_qwen3_5_2b,0.5454545454545454,308,0.72101355,-0.553251,0.10523695,-0.5315812,-0.92615485,-0.5618263,10,10,10,10,10,10
