model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank,1pl_regular_se,1pl_regular_lo,1pl_regular_hi,2pl_regular_se,2pl_regular_lo,2pl_regular_hi,3pl_regular_se,3pl_regular_lo,3pl_regular_hi
claude_sonnet_4_6,0.819078947368421,304,2.874216,0.7699373,1.5089664,0.58315426,1.3986751,0.5846713,1,1,2,1,1,1,0.15394937,2.5724754,3.1759567,0.022862436,1.464156,1.5537769,0.03777875,1.3246287,1.4727215
qwen_qwen3_5_27b,0.7792207792207793,308,2.485592,0.5255586,1.5201943,0.41895646,0.91997445,0.43061852,2,2,1,2,2,2,0.15581483,2.1801949,2.790989,0.004211262,1.5119402,1.5284483,0.015720354,0.88916254,0.95078635
claude_haiku_4_5_20251001,0.6915584415584416,308,1.7814713,0.07184297,1.0927907,0.12953763,0.85889566,0.1278922,3,3,3,3,3,3,0.1538941,1.4798388,2.0831037,0.030105019,1.0337849,1.1517966,0.032733995,0.79473704,0.9230543
qwen_qwen3_5_9b,0.6785714285714286,308,1.6833391,0.0116418,0.5280894,0.019883052,0.14199588,0.0347621,4,4,6,4,7,4,0.15243882,1.384559,1.9821192,0.02448554,0.48009774,0.57608104,0.1912497,-0.23285353,0.5168453
mistralai_ministral_3_14b_instruct_2512_bf16,0.6525974025974026,308,1.4914482,-0.10509646,0.6329644,-0.030213892,0.3707418,-0.021493837,5,7,5,6,5,5,0.1694198,1.1593853,1.823511,0.02075677,0.5922811,0.67364764,0.02557057,0.3206235,0.42086014
qwen_qwen3_5_4b,0.6525974025974026,308,1.4907441,-0.10509634,0.5246421,-0.060419023,0.15724447,-0.03368573,6,6,7,7,6,7,0.15331155,1.1902535,1.7912347,0.025179142,0.47529098,0.5739932,0.2242559,-0.2822971,0.596786
mistralai_ministral_3_8b_instruct_2512_bf16,0.6525974025974026,308,1.4835145,-0.1050961,0.6936148,-0.02531682,0.44229144,-0.028968424,7,5,4,5,4,6,0.15394442,1.1817834,1.7852457,0.002449043,0.68881464,0.6984149,0.0066233217,0.42930973,0.45527315
mistralai_ministral_3_3b_instruct_2512_bf16,0.6501650165016502,303,1.4787083,-0.11580753,0.5126493,-0.09167161,0.11186568,-0.07965856,8,8,8,8,8,8,0.15559994,1.1737324,1.7836841,0.0028334847,0.5070957,0.5182029,0.008824998,0.094568685,0.12916267
qwen_qwen3_5_0_8b,0.5844155844155844,308,1.0017486,-0.39463317,0.15506259,-0.41232878,-0.5694306,-0.45231122,9,9,9,9,9,9,0.1566801,0.69465554,1.3088416,0.10922127,-0.059011117,0.36913627,0.05708208,-0.6813115,-0.45754972
qwen_qwen3_5_2b,0.5454545454545454,308,0.72101355,-0.553251,0.10523695,-0.5315812,-0.92615485,-0.5618263,10,10,10,10,10,10,0.18136832,0.36553162,1.0764954,0.0044661085,0.09648337,0.11399052,0.14106464,-1.2026415,-0.64966816
