model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank
claudeopus47,0.931758530183727,381,3.7874377,1.7746156,2.343792,0.9670435,2.053304,0.98425967,1,1,1,1,2,1
claudesonnet46,0.905511811023622,381,3.2899518,1.4442112,2.198654,0.8837484,2.0916054,0.8988376,2,2,2,2,1,2
claudehaiku4520251001,0.8162729658792651,381,2.2681143,0.675483,0.9605143,0.54560155,0.86808395,0.5544906,3,3,3,3,3,3
qwen3527b,0.7270341207349081,381,1.5323948,0.16381186,0.23039891,0.20486772,0.3109744,0.21432284,4,4,5,4,4,4
mistral14b,0.7086614173228346,381,1.3996477,0.07307732,0.30041093,0.15624523,0.13227856,0.16189945,5,5,4,5,6,5
ministral8b,0.6456692913385826,381,0.96977615,-0.21571308,0.21359894,-0.054914936,0.09930085,-0.050623402,6,6,6,6,8,6
qwen359b,0.5984251968503937,381,0.66759837,-0.41705233,0.12787881,-0.21939115,0.14045593,-0.2277228,7,7,8,7,5,8
qwen354b,0.5958005249343832,381,0.65147054,-0.42781705,0.11700335,-0.22793637,0.10987544,-0.22445765,8,8,9,8,7,7
ministral3b,0.5669291338582677,381,0.47198164,-0.54643244,0.13534835,-0.33873037,0.05248377,-0.35010684,9,9,7,9,9,9
qwen352b,0.48031496062992124,381,-0.058709085,-0.8945946,-0.043900996,-0.6749097,-0.2871397,-0.700703,10,10,10,10,10,10
qwen3508b,0.30708661417322836,381,-1.1812365,-1.6295893,-0.66103685,-1.241624,-2.2080941,-1.2601964,11,11,11,11,11,11
