model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank
claudeopus47,0.968503937007874,381,4.129145,2.2033277,2.4918509,1.0004419,2.3116395,1.0278119,1,1,1,1,1,1
claudesonnet46,0.8661417322834646,381,2.3706555,0.95457727,1.8650247,0.6500157,2.1155093,0.66836166,2,2,2,2,2,2
claudehaiku4520251001,0.8188976377952756,381,1.9668065,0.5962071,1.1931479,0.48468602,0.855851,0.4978414,3,3,3,3,4,3
ministral14b,0.7270341207349081,381,1.3295634,0.06693703,0.6570746,0.17652945,0.9404183,0.18640506,4,4,4,4,3,4
ministral8b,0.6902887139107612,381,1.1101173,-0.11121994,0.54319304,0.058514997,0.513881,0.06601651,5,5,5,5,5,5
ministral3b,0.6745406824146981,381,1.01846,-0.18389171,0.48650926,-0.0060535967,0.29562005,-0.0006246269,6,6,6,6,6,6
qwen352b,0.6587926509186351,381,0.9308109,-0.254771,0.3441402,-0.09953923,-0.22740468,-0.10725163,7,7,7,7,8,7
qwen359b,0.5590551181102362,381,0.39516383,-0.6753664,0.18157834,-0.4609046,-0.19010675,-0.47797456,8,8,9,8,7,8
qwen354b,0.5538057742782152,381,0.3679725,-0.69663,0.14668301,-0.467767,-0.40375,-0.48323128,9,9,11,9,9,9
qwen3527b,0.5223097112860893,381,0.20330691,-0.82339036,0.16557437,-0.56928,-1.0138751,-0.5854042,10,10,10,10,11,10
qwen3508b,0.45931758530183725,381,-0.13069463,-1.0757793,0.19943401,-0.7666437,-1.004154,-0.7919501,11,11,8,11,10,11
