model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank,1pl_regular_se,1pl_regular_lo,1pl_regular_hi,2pl_regular_se,2pl_regular_lo,2pl_regular_hi,3pl_regular_se,3pl_regular_lo,3pl_regular_hi,1pl_item_marginal_mmle_boot_mean,1pl_item_marginal_mmle_boot_se,1pl_item_marginal_mmle_boot_lo,1pl_item_marginal_mmle_boot_hi,2pl_item_marginal_mmle_boot_mean,2pl_item_marginal_mmle_boot_se,2pl_item_marginal_mmle_boot_lo,2pl_item_marginal_mmle_boot_hi,3pl_item_marginal_mmle_boot_mean,3pl_item_marginal_mmle_boot_se,3pl_item_marginal_mmle_boot_lo,3pl_item_marginal_mmle_boot_hi
claudeopus47,0.968503937007874,381,4.129145,2.2033277,2.4918509,1.0004419,2.3116395,1.0278119,1,1,1,1,1,1,0.14468962,3.8455534,4.412737,0.10985392,2.2765372,2.7071645,0.06730771,2.1797163,2.4435627,1.3161963,0.74065995,-0.20469214,2.6484172,0.9943634,0.033110734,0.9502006,1.0577832,1.0258464,0.036688868,0.9436899,1.0900396
claudesonnet46,0.8661417322834646,381,2.3706555,0.95457727,1.8650247,0.6500157,2.1155093,0.66836166,2,2,2,2,2,2,0.31193548,1.759262,2.982049,0.26643598,1.3428102,2.3872392,0.269026,1.5882182,2.6428003,0.77979004,0.302449,0.15617776,1.166956,0.64581025,0.05819997,0.54727423,0.74066716,0.6688944,0.051643707,0.5635536,0.76541865
claudehaiku4520251001,0.8188976377952756,381,1.9668065,0.5962071,1.1931479,0.48468602,0.855851,0.4978414,3,3,3,3,4,3,0.16136771,1.6505258,2.2830873,0.19897932,0.8031484,1.5831474,0.2506414,0.36459383,1.3471081,0.5494933,0.31315592,-0.4500758,0.8801525,0.48496392,0.064511575,0.3480417,0.59858423,0.49816784,0.06017298,0.3903056,0.6142983
ministral14b,0.7270341207349081,381,1.3295634,0.06693703,0.6570746,0.17652945,0.9404183,0.18640506,4,4,4,4,3,4,0.12730986,1.080036,1.5790907,0.047566026,0.56384516,0.750304,0.035729997,0.8703875,1.010449,0.078715146,0.22729374,-0.37110013,0.51348436,0.1644138,0.05831952,0.060499553,0.30065122,0.1869759,0.07368589,0.04756398,0.3081993
ministral8b,0.6902887139107612,381,1.1101173,-0.11121994,0.54319304,0.058514997,0.513881,0.06601651,5,5,5,5,5,5,0.12213938,0.87072414,1.3495106,0.021172235,0.50169545,0.58469063,0.055635627,0.4048352,0.62292683,-0.070197605,0.14275607,-0.31048188,0.18504582,0.045431092,0.06610068,-0.09581533,0.15475357,0.042944588,0.07088856,-0.081454776,0.15240893
ministral3b,0.6745406824146981,381,1.01846,-0.18389171,0.48650926,-0.0060535967,0.29562005,-0.0006246269,6,6,6,6,6,6,0.12345961,0.7764792,1.2604408,0.022555472,0.44230053,0.53071797,0.053644996,0.19047585,0.40076426,-0.09062868,0.14188996,-0.35552606,0.21575075,-0.025211284,0.0629293,-0.12508649,0.08926933,-0.012558896,0.058555897,-0.13463566,0.09265023
qwen352b,0.6587926509186351,381,0.9308109,-0.254771,0.3441402,-0.09953923,-0.22740468,-0.10725163,7,7,7,7,8,7,0.11823851,0.6990634,1.1625584,0.00443457,0.33544844,0.35283196,0.0046553668,-0.2365292,-0.21828017,-0.18984415,0.2071254,-0.6567702,0.22641835,-0.099251136,0.060426313,-0.19805656,0.027598111,-0.11433057,0.06126351,-0.2330404,-0.010091589
qwen359b,0.5590551181102362,381,0.39516383,-0.6753664,0.18157834,-0.4609046,-0.19010675,-0.47797456,8,8,9,8,7,8,0.11710436,0.16563928,0.6246884,0.004706365,0.17235386,0.19080281,0.062128708,-0.311879,-0.06833448,-0.50892925,0.21415795,-0.77209663,0.051118694,-0.43881086,0.059543964,-0.5525802,-0.35372692,-0.4573962,0.0764564,-0.6156367,-0.3114709
qwen354b,0.5538057742782152,381,0.3679725,-0.69663,0.14668301,-0.467767,-0.40375,-0.48323128,9,9,11,9,9,9,0.12102887,0.1307559,0.6051891,0.022594104,0.10239856,0.19096746,0.01766188,-0.43836728,-0.36913273,-0.51993155,0.2244181,-0.7840104,0.103691585,-0.4484964,0.07014976,-0.557596,-0.3307041,-0.48075077,0.06307808,-0.59146076,-0.36973166
qwen3527b,0.5223097112860893,381,0.20330691,-0.82339036,0.16557437,-0.56928,-1.0138751,-0.5854042,10,10,10,10,11,10,0.117205426,-0.02641572,0.43302953,0.0074052103,0.15106016,0.18008858,0.049063466,-1.1100395,-0.9177107,-0.6598509,0.22802968,-0.94463885,-0.13040581,-0.5526828,0.07438685,-0.68337786,-0.4117687,-0.56368315,0.07188793,-0.700522,-0.4653569
qwen3508b,0.45931758530183725,381,-0.13069463,-1.0757793,0.19943401,-0.7666437,-1.004154,-0.7919501,11,11,8,11,10,11,0.117264934,-0.3605339,0.09914465,0.0040579517,0.19148043,0.2073876,0.0139171425,-1.0314316,-0.9768764,-0.68481237,0.38442886,-1.13982,0.2454085,-0.7705298,0.080146275,-0.9006845,-0.63320714,-0.7941101,0.071202636,-0.92927253,-0.64834154
