model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank
claude_haiku_4_5_20251001,0.9951159951159951,819,8.206439,1.5803573,5.0944796,0.56263614,2.7027464,0.5644934,1,1,1,2,4,2
qwen_qwen3_5_4b,0.9951159951159951,819,8.168509,1.5441244,2.9041533,0.5626588,3.2183537,0.5650009,2,2,3,1,2,1
qwen_qwen3_5_27b,0.9914529914529915,819,7.703506,1.0757518,4.0720534,0.5467694,2.9548001,0.54892206,3,3,2,4,3,4
qwen_qwen3_5_9b,0.9926739926739927,819,7.614989,0.8441563,2.5957983,0.5527148,3.6438246,0.55506253,4,6,4,3,1,3
claude_sonnet_4_6,0.967032967032967,819,6.182236,0.92346567,2.2881632,0.44261083,1.8952043,0.44368407,5,4,5,5,5,5
qwen_qwen3_5_2b,0.9645909645909646,819,6.101101,0.8564238,1.9848058,0.42162195,1.8149292,0.422542,6,5,6,6,6,6
qwen_qwen3_5_0_8b,0.8217338217338217,819,3.6929073,-0.9042446,1.1340251,-0.19844955,1.503845,-0.20511237,7,7,7,7,7,7
mistralai_ministral_3_14b_instruct_2512,0.6349206349206349,819,1.8103647,-1.8789485,0.5491836,-0.8895291,0.3258332,-0.89056134,8,8,8,8,9,8
mistralai_ministral_3_3b_instruct_2512,0.6117216117216118,819,1.5844878,-1.9758122,0.4286371,-0.96430314,0.34011585,-0.9679588,9,9,10,9,8,9
mistralai_ministral_3_8b_instruct_2512,0.58679706601467,818,1.3241119,-2.0652738,0.45268983,-1.0367303,-0.4632194,-1.0360725,10,10,9,10,10,10
