model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank,1pl_regular_se,1pl_regular_lo,1pl_regular_hi,2pl_regular_se,2pl_regular_lo,2pl_regular_hi,3pl_regular_se,3pl_regular_lo,3pl_regular_hi,1pl_item_marginal_mmle_boot_mean,1pl_item_marginal_mmle_boot_se,1pl_item_marginal_mmle_boot_lo,1pl_item_marginal_mmle_boot_hi,2pl_item_marginal_mmle_boot_mean,2pl_item_marginal_mmle_boot_se,2pl_item_marginal_mmle_boot_lo,2pl_item_marginal_mmle_boot_hi,3pl_item_marginal_mmle_boot_mean,3pl_item_marginal_mmle_boot_se,3pl_item_marginal_mmle_boot_lo,3pl_item_marginal_mmle_boot_hi
claude_haiku_4_5_20251001,0.9951159951159951,819,8.206439,1.5803573,5.0944796,0.56263614,2.7027464,0.5644934,1,1,1,2,4,2,0.47941932,7.266777,9.146101,1.0742728,2.988905,7.200054,0.35615036,2.0046916,3.4008012,1.0748721,0.82636184,-0.7881514,2.1851296,0.5530797,0.019167738,0.5200351,0.5766829,0.55825984,0.016933702,0.5270591,0.5864161
qwen_qwen3_5_4b,0.9951159951159951,819,8.168509,1.5441244,2.9041533,0.5626588,3.2183537,0.5650009,2,2,3,1,2,1,0.21004154,7.7568274,8.58019,0.10847788,2.6915367,3.11677,0.048353616,3.1235807,3.3131268,0.80360353,0.960294,-0.8478561,2.4770274,0.55505043,0.020462466,0.5016623,0.5936287,0.5578828,0.018499326,0.52499264,0.59202474
qwen_qwen3_5_27b,0.9914529914529915,819,7.703506,1.0757518,4.0720534,0.5467694,2.9548001,0.54892206,3,3,2,4,3,4,0.1101251,7.487661,7.919351,0.016019063,4.040656,4.103451,0.003861387,2.9472318,2.9623685,1.3361084,0.81335735,-0.4760962,2.7557461,0.5398101,0.021132203,0.4971459,0.5727489,0.544291,0.019651,0.5123475,0.5818027
qwen_qwen3_5_9b,0.9926739926739927,819,7.614989,0.8441563,2.5957983,0.5527148,3.6438246,0.55506253,4,6,4,3,1,3,0.11140463,7.3966355,7.833342,0.0057553174,2.5845177,2.6070788,0.0045089857,3.6349869,3.6526623,0.97448,0.6765021,-0.31473768,2.313112,0.54601717,0.018973147,0.50231665,0.57226115,0.55053866,0.019803802,0.5134925,0.5864414
claude_sonnet_4_6,0.967032967032967,819,6.182236,0.92346567,2.2881632,0.44261083,1.8952043,0.44368407,5,4,5,5,5,5,0.11363598,5.95951,6.4049625,0.0029024603,2.2824743,2.293852,0.1545315,1.5923226,2.198086,0.5995173,0.61938,-1.0700008,1.1977214,0.43581092,0.026765332,0.38616118,0.47786307,0.43921047,0.031124119,0.39016247,0.49867156
qwen_qwen3_5_2b,0.9645909645909646,819,6.101101,0.8564238,1.9848058,0.42162195,1.8149292,0.422542,6,5,6,6,6,6,0.117094986,5.871595,6.330607,0.049840122,1.8871192,2.0824924,0.06971746,1.678283,1.9515755,0.6665011,0.45880753,-0.3117519,1.346805,0.41420165,0.029349957,0.35774058,0.46472973,0.41789192,0.030140677,0.35831538,0.46023875
qwen_qwen3_5_0_8b,0.8217338217338217,819,3.6929073,-0.9042446,1.1340251,-0.19844955,1.503845,-0.20511237,7,7,7,7,7,7,0.38383853,2.9405837,4.445231,0.6765008,-0.19191647,2.4599667,0.2203187,1.0720203,1.9356697,-0.76971364,0.1732298,-1.1292887,-0.44683212,-0.19554235,0.042142745,-0.28535536,-0.14074253,-0.2064869,0.04611794,-0.3032302,-0.119430915
mistralai_ministral_3_14b_instruct_2512,0.6349206349206349,819,1.8103647,-1.8789485,0.5491836,-0.8895291,0.3258332,-0.89056134,8,8,8,8,9,8,0.2042039,1.410125,2.2106044,0.0893913,0.37397665,0.72439057,0.04304362,0.2414677,0.4101987,-1.5609596,0.35600206,-2.0476446,-0.6903577,-0.8729448,0.037535343,-0.927206,-0.794625,-0.8772624,0.041636664,-0.9582044,-0.81450653
mistralai_ministral_3_3b_instruct_2512,0.6117216117216118,819,1.5844878,-1.9758122,0.4286371,-0.96430314,0.34011585,-0.9679588,9,9,10,9,8,9,0.47130385,0.6607322,2.5082433,0.33412814,-0.2262541,1.0835283,0.6331263,-0.90081173,1.5810435,-1.536661,0.5001084,-2.1015735,-0.6593292,-0.9523405,0.04581322,-1.0171496,-0.868083,-0.9532798,0.040221162,-1.0187271,-0.8794898
mistralai_ministral_3_8b_instruct_2512,0.58679706601467,818,1.3241119,-2.0652738,0.45268983,-1.0367303,-0.4632194,-1.0360725,10,10,9,10,10,10,0.36946303,0.5999644,2.0482595,0.23745178,-0.0127156675,0.91809535,0.92370564,-2.2736826,1.3472437,-1.5877483,0.4121074,-2.1729393,-0.59695184,-1.0231426,0.03580039,-1.0895941,-0.9648327,-1.0310454,0.042364117,-1.1018587,-0.9479599
