model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank,1pl_regular_se,1pl_regular_lo,1pl_regular_hi,2pl_regular_se,2pl_regular_lo,2pl_regular_hi,3pl_regular_se,3pl_regular_lo,3pl_regular_hi
claude_sonnet_4_6,0.8424657534246576,146,2.1707377,1.9412618,1.6609912,1.3962538,1.3584771,1.4252961,1,1,1,1,1,1,0.20244358,1.7739483,2.5675273,0.13756353,1.3913667,1.9306157,0.10419283,1.1542592,1.562695
claude_haiku_4_5_20251001,0.6344827586206897,145,0.6468047,0.84347093,0.31203645,0.71225476,0.18066947,0.711937,2,2,2,2,2,2,0.26863924,0.1202718,1.1733376,0.29456553,-0.26531202,0.8893849,0.25597665,-0.32104474,0.6823837
qwen_qwen3_5_27b,0.45081967213114754,122,-0.43192616,0.0946151,-0.44958335,0.09227334,-0.44564563,0.07644061,3,3,3,3,4,3,0.19264664,-0.80951357,-0.054338753,0.030278921,-0.50893,-0.39023668,0.0057338094,-0.4568839,-0.43440735
qwen_qwen3_5_9b,0.43478260869565216,115,-0.5755957,0.02960974,-0.7964645,0.014535457,-0.38166425,-0.004163891,4,4,10,5,3,4,0.21018033,-0.9875491,-0.16364223,0.016104417,-0.82802916,-0.76489985,0.008801219,-0.39891464,-0.36441386
qwen_qwen3_5_4b,0.4247787610619469,113,-0.62096256,-0.01121217,-0.4872741,0.02192752,-0.75320554,-0.010476887,5,5,4,4,7,5,0.20046689,-1.0138776,-0.22804746,0.00893812,-0.5047928,-0.46975538,0.23359795,-1.2110575,-0.29535356
mistralai_ministral_3_14b_instruct_2512_bf16,0.4,150,-0.65167356,-0.11349106,-0.5471577,-0.12644401,-0.74645305,-0.14225008,6,6,5,6,6,6,0.24825956,-1.1382623,-0.16508481,0.00261378,-0.5522807,-0.5420347,0.28913385,-1.3131554,-0.17975068
mistralai_ministral_3_8b_instruct_2512_bf16,0.3202614379084967,153,-1.0921699,-0.45431405,-0.7379558,-0.37687892,-1.5727723,-0.37133592,7,7,7,7,9,7,0.20843397,-1.5007005,-0.6836393,0.024121938,-0.7852348,-0.6906768,0.031509224,-1.6345303,-1.5110142
qwen_qwen3_5_2b,0.2867647058823529,136,-1.3602306,-0.619175,-0.72168165,-0.4709867,-1.3438753,-0.45754737,8,8,6,8,8,8,0.21800019,-1.7875109,-0.9329502,0.009678553,-0.7406516,-0.7027117,0.2379643,-1.8102853,-0.87746525
mistralai_ministral_3_3b_instruct_2512_bf16,0.2751677852348993,149,-1.4282176,-0.67360336,-0.76134354,-0.5408221,-0.7368932,-0.5212874,9,9,8,9,5,9,0.21999252,-1.859403,-0.9970323,0.022167737,-0.8047923,-0.7178948,0.026005853,-0.7878646,-0.6859217
qwen_qwen3_5_0_8b,0.20930232558139536,129,-1.885912,-1.0371618,-0.79076797,-0.72211313,-2.1902258,-0.70661217,10,10,9,10,10,10,0.21656041,-2.3103704,-1.4614536,0.008713283,-0.807846,-0.7736899,0.031046458,-2.251077,-2.1293747
