model,solver_ability,solver_se,judge_ability,judge_se,solver_rank,judge_rank,rank_gap
Haiku 4.5,1.58,0.826,-0.184,0.005,1.0,6.0,-5.0
Qwen 4B,1.544,0.96,-0.085,0.868,2.0,5.0,-3.0
Qwen 27B,1.076,0.813,0.401,0.04,3.0,1.0,2.0
Sonnet 4.6,0.923,0.619,0.12,0.046,4.0,2.0,2.0
Qwen 2B,0.856,0.459,-3.478,0.012,5.0,10.0,-5.0
Qwen 9B,0.844,0.677,-0.841,0.105,6.0,7.0,-1.0
Qwen 0.8B,-0.904,0.173,-2.988,0.137,7.0,9.0,-2.0
Mistral 14B,-1.879,0.356,-0.038,0.011,8.0,3.0,5.0
Mistral 3B,-1.976,0.5,-1.33,1.269,9.0,8.0,1.0
Mistral 8B,-2.065,0.412,-0.056,0.231,10.0,4.0,6.0
