domain,role,k,in_sample_loss,in_sample_auc,in_sample_log_likelihood,in_sample_brier,in_sample_ece,in_sample_beta_nll,in_sample_mse,in_sample_rmse,in_sample_mae,in_sample_pearson
code,code_judge,1,0.1880032569169998,0.9348692300633202,-0.1879894137382507,0.0622076876461505,0.0252045320023572,,,,,
code,code_judge,2,0.1017708480358123,0.9756859686152152,-0.101750798523426,0.0322634987533092,0.0158670581543468,,,,,
code,code_solver,1,0.1101175919175148,0.9984702549575072,-0.1101062968373298,0.035859327763319,0.0187183631670383,,,,,
code,code_solver,2,0.0594878606498241,1.0,-0.0594737380743026,0.018615698441863,0.0130274975174862,,,,,
kudge,kudge_judge,1,0.3693625032901764,0.8419530976548828,-0.3693499863147735,0.1256781816482544,0.0269522538559301,,,,,
kudge,kudge_judge,2,0.2666735649108886,0.8878158907945397,-0.2666504681110382,0.0887776315212249,0.0283793877384466,,,,,
kudge,kudge_solver,1,0.3018888831138611,0.9215675675675676,-0.3018800318241119,0.1012154370546341,0.0252629430874367,,,,,
kudge,kudge_solver,2,0.2168739736080169,0.9510990990990992,-0.2168455272912979,0.0706179738044738,0.0220231373841709,,,,,
mmlu,mmlu_judge,1,0.2307770848274231,0.9463234579893152,-0.2307679802179336,0.0767807140946388,0.0298497642993014,,,,,
mmlu,mmlu_judge,2,0.1152046546339988,0.9876202039825158,-0.1151810884475708,0.0358650460839271,0.016925986463799,,,,,
mmlu,mmlu_solver,1,0.3582826256752014,0.8841438356164384,-0.3582706749439239,0.1207964271306991,0.0361039124885971,,,,,
mmlu,mmlu_solver,2,0.2160449475049972,0.9715924657534246,-0.216020181775093,0.070648118853569,0.0249318960760562,,,,,
safety,harmmetric_eval_continuous,1,2.827147483825684,,,,,2.7094662189483643,0.081306979060173,0.2851437926292419,0.1523341685533523,0.7862296104431152
safety,harmmetric_eval_continuous,2,-0.5233648419380188,,,,,-0.7245043516159058,0.0498792678117752,0.2233366668224334,0.1067660897970199,0.8737163543701172
safety,safety_solver,1,0.0898772031068801,0.9771658821851376,-0.0898658484220504,0.0288580022752285,0.028775117249625,,,,,
safety,safety_solver,2,0.0387068279087543,0.9939081443446012,-0.0386925749480724,0.0112857054919004,0.0141564721782031,,,,,
