difficulty_bin,judge_score_mean,judge_score_sd,n_judge_models
1,0.7692307692307693,0.15469849363075236,11
2,0.7655502392344498,0.19174607568912796,11
3,0.7344497607655502,0.14626208094835874,11
4,0.6842105263157895,0.19194297398747862,11
5,0.6578947368421052,0.16973174206944316,11
6,0.7081339712918661,0.12256184229853169,11
7,0.6770334928229665,0.15167162238705706,11
8,0.5765550239234449,0.1666246904245536,11
9,0.5909090909090909,0.20498078970988515,11
10,0.6507177033492823,0.18870124311690564,11
