case_category,case_rank_score,solver_item_id,solver_pair_id,solver_source,solver_gold_letter,difficulty_bin,solver_difficulty_centered,solver_difficulty_centered_laplace_se,solver_difficulty_percentile,judge_difficulty_centered,judge_difficulty_centered_laplace_se,judge_difficulty_percentile,solver_score_mean,judge_score_mean,solver_score_sd,judge_score_sd
hard_to_solve__hard_to_judge,88.96103896103897,7568,a5c0fd0a-7440-5461-9a32-c6c5ff574ae0,mmlu-pro-economics,D,10,5.174225330352783,2.308973550796509,94.15584415584416,4.520340800285339,1.8328292190906468,88.96103896103897,0.1,0.25,0.31622776601683794,0.26352313834736496
hard_to_solve__hard_to_judge,88.31168831168831,3250,49c0f568-1ac2-53dc-be78-f3eea93820fd,mmlu-pro-biology,J,10,4.760629653930664,4.132511615753174,90.25974025974024,4.452705383300781,2.719825467529828,88.31168831168831,0.1,0.05,0.31622776601683794,0.15811388300841897
hard_to_solve__hard_to_judge,86.36363636363636,8286,57ee26c0-cc5d-5c32-b782-c7b5e5da5730,mmlu-pro-math,F,9,3.751030445098877,6.605535984039307,86.36363636363636,4.294901251792908,0.97226795752534,87.66233766233766,0.0,0.65,0.0,0.41163630117428235
hard_to_solve__hard_to_judge,85.71428571428571,6728,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,D,10,5.773183345794678,4.855305671691895,96.1038961038961,4.213905990123749,2.293291332948175,85.71428571428571,0.0,0.3,0.0,0.25819888974716115
hard_to_solve__hard_to_judge,85.06493506493507,2416,c20860f9-7468-546b-ae86-4ae6a6493de9,mmlu-pro-psychology,J,10,4.7854766845703125,2.549623727798462,90.9090909090909,4.124056398868561,3.030290599839712,85.06493506493507,0.2,0.4,0.42163702135578396,0.21081851067789198
hard_to_solve__hard_to_judge,83.11688311688312,2453,9536d58f-8a88-53be-b97e-45bb2d457c12,mmlu-pro-psychology,B,9,2.5265660285949707,1.253059983253479,83.11688311688312,9.530106544494627,1.6151098669991013,99.35064935064936,0.1,0.35,0.31622776601683794,0.3374742788552764
hard_to_solve__hard_to_judge,81.16883116883116,7978,bd6f87f2-cb60-58b3-8b27-4eceab2bfc79,mmlu-pro-math,B,9,2.4568734169006348,23.17033195495605,81.16883116883116,3.3438837826251984,3.766070810167914,83.11688311688312,0.4,0.7,0.5477225575051662,0.25819888974716115
hard_to_solve__hard_to_judge,79.22077922077922,5111,b6ade862-109b-5788-8c0c-eabe1f7e205a,mmlu-pro-other,B,9,2.714429378509521,1.2722573280334473,84.4155844155844,2.579512596130371,2.9734829875892763,79.22077922077922,0.125,0.7,0.3535533905932738,0.25819888974716115
hard_to_solve__hard_to_judge,79.22077922077922,4789,14ead85f-e4c6-5ae2-a586-6388d9b9b4f1,mmlu-pro-history,B,8,2.031120777130127,1.042698621749878,79.22077922077922,7.917872190475464,0.9337407637562896,98.05194805194806,0.4,0.35,0.5163977794943223,0.4743416490252569
hard_to_solve__hard_to_judge,75.97402597402598,1420,e302b0a0-28d5-5a3c-b1af-fedcf5543e72,mmlu-pro-law,H,8,2.007905960083008,1.298419952392578,77.92207792207793,2.2709645330905914,1.0831311232372685,75.97402597402598,0.2,0.7,0.42163702135578396,0.25819888974716115
easy_to_solve__hard_to_judge,91.55844155844156,3036,3cbbae47-8be1-5e31-868b-3b61d51a777d,mmlu-pro-biology,C,1,-5.256762981414795,2.795727491378784,8.441558441558442,7.740664005279541,2.6736599330909745,96.75324675324676,0.9,0.55,0.31622776601683794,0.3689323936863109
easy_to_solve__hard_to_judge,91.55844155844156,7623,3c6f3a85-c058-543a-8226-852972410970,mmlu-pro-economics,D,1,-9.349905967712402,3.89599084854126,2.5974025974025974,4.995169878005981,3.046512095392886,91.55844155844156,0.8,0.65,0.4216370213557839,0.3374742788552764
easy_to_solve__hard_to_judge,87.01298701298701,4773,d1dd83a6-7ccb-5f83-983e-f6fc38783836,mmlu-pro-history,D,2,-4.560671329498291,4.005589485168457,12.987012987012983,8.241336822509766,1.555587878420555,98.7012987012987,1.0,0.5,0.0,0.4714045207910317
easy_to_solve__hard_to_judge,83.76623376623377,7024,aaf21925-4fcc-5841-b6e5-9afdf75a3b2e,mmlu-pro-economics,J,1,-5.8867058753967285,1.654435634613037,5.194805194805195,3.5892285481095314,0.96085430723874,83.76623376623377,0.4,0.4,0.5163977794943222,0.39440531887330776
easy_to_solve__hard_to_judge,80.51948051948051,889,2545077a-25bd-5b66-a42b-e0efb838ecee,mmlu-pro-law,C,2,-2.421258449554444,1.1399580240249634,19.480519480519483,2.702012062072754,0.7536339175704179,80.51948051948052,0.5,0.65,0.5270462766947299,0.3374742788552765
easy_to_solve__hard_to_judge,79.22077922077922,4951,f7dc91ae-4e50-51e8-aa72-34723a3b4c85,mmlu-pro-history,F,3,-1.9742082357406616,1.045562505722046,20.77922077922078,4.2305126786232,1.2320599039301652,86.36363636363636,0.7,0.7,0.4830458915396479,0.34960294939005054
easy_to_solve__hard_to_judge,78.57142857142857,4771,2b51f48f-90d7-57f7-8888-30fd13c0d5ff,mmlu-pro-history,A,3,-1.838849663734436,1.0574716329574585,21.428571428571427,5.643418967723846,1.2983803114150425,93.5064935064935,0.7,0.3,0.48304589153964794,0.3496029493900505
easy_to_solve__hard_to_judge,75.97402597402598,10565,07c3dda8-0f84-5624-9b4a-19ed31d85a2b,mmlu-pro-computer science,A,3,-1.6572850942611694,29.15195083618164,24.025974025974023,5.41735178232193,1.5828189953540603,92.85714285714286,0.2857142857142857,0.4,0.48795003647426666,0.31622776601683794
hard_to_solve__easy_to_judge,92.85714285714286,8762,730909ae-6903-517a-ad99-9991d2cfc217,mmlu-pro-math,B,10,5.005324840545654,6.630117893218994,92.85714285714286,-7.292554140090942,2.0382041916382283,0.6493506493506493,0.0,0.7222222222222222,0.0,0.26352313834736496
hard_to_solve__easy_to_judge,90.25974025974025,5087,585e5a43-454b-56f7-aba3-fb4e22938020,mmlu-pro-other,J,10,4.964190006256104,6.169854640960693,91.55844155844156,-3.5342390537261963,2.262119062032132,9.740259740259742,0.2222222222222222,0.85,0.44095855184409843,0.24152294576982397
hard_to_solve__easy_to_judge,89.6103896103896,9158,e3de7dfc-4b9e-5476-b7af-92d7d00bf2d3,mmlu-pro-physics,E,10,5.7739129066467285,7.233677864074707,96.75324675324676,-3.51856541633606,5.40263691076788,10.38961038961039,0.125,0.85,0.3535533905932738,0.24152294576982397
hard_to_solve__easy_to_judge,79.87012987012987,3306,ad732066-b195-5f46-a39f-6f1184aa594b,mmlu-pro-biology,E,10,4.979928970336914,1.6475831270217896,92.2077922077922,-2.851278781890869,4.531684233778773,20.12987012987013,0.625,1.0,0.5175491695067657,0.0
hard_to_solve__easy_to_judge,79.87012987012987,9337,df1964d5-629f-5b4a-bcd5-79137e8f3bc5,mmlu-pro-physics,H,8,2.1307015419006348,52.907325744628906,79.87012987012987,-4.719371169805527,1.0646366049729523,3.2467532467532463,0.0,0.55,0.0,0.3689323936863109
hard_to_solve__easy_to_judge,77.27272727272727,5284,ebe368cb-5783-5f03-8471-e31295bc4438,mmlu-pro-other,C,8,2.0034279823303223,1.1628061532974243,77.27272727272727,-5.0537025928497314,2.6172093104953653,1.948051948051948,0.2,0.95,0.42163702135578396,0.15811388300841897
hard_to_solve__easy_to_judge,76.62337662337663,1330,50e6565c-07f5-57d6-80d8-028498a1251b,mmlu-pro-law,H,10,5.273778438568115,5.818595886230469,94.8051948051948,-2.710275650024414,1.772365941919479,23.37662337662337,0.125,0.9,0.3535533905932738,0.21081851067789195
hard_to_solve__easy_to_judge,75.97402597402598,2389,4d2085b1-24e4-5bcd-959a-13d3a83e39cd,mmlu-pro-psychology,B,8,1.994639754295349,1.295546293258667,76.62337662337663,-2.6982251405715942,5.642395245698241,24.025974025974023,0.2,0.85,0.42163702135578396,0.24152294576982394
hard_to_solve__easy_to_judge,75.97402597402598,4382,ed01d44a-e1bc-5833-9a59-ea5f5a9ebd60,mmlu-pro-chemistry,D,8,1.9803555011749268,1.2120953798294067,75.97402597402598,-3.720909595489502,2.7731722878061573,7.792207792207792,0.3,0.95,0.4830458915396479,0.15811388300841897
