difficulty_bin,solver_difficulty_mean,judge_score_mean,n_prompts
1,-2.211121593202864,0.3999999999999999,12
2,-1.4180507333505723,0.3395833333333333,12
3,-0.8746552374455835,0.3439393939393939,11
4,-0.5548947339966184,0.3791666666666666,12
5,-0.3197111494484402,0.3328703703703703,12
6,7.528376269650365e-05,0.3401515151515151,11
7,0.4889086215268998,0.3833333333333333,12
8,0.823689409664699,0.3393939393939394,11
9,1.346511498803184,0.3902777777777778,12
10,2.715008443310148,0.4895833333333333,12
