case_category,case_rank_score,solver_item_id,solver_subset,solver_gold,solver_difficulty_centered,solver_difficulty_centered_laplace_se,solver_difficulty_percentile,judge_difficulty_centered,judge_difficulty_centered_laplace_se,judge_difficulty_percentile,solver_score_mean,judge_score_mean
hard_to_solve__hard_to_judge,97.63779527559056,145,Korean-Easy,D,7.241731643676758,1.38701331615448,97.63779527559056,8.481114387512207,2.270303010940552,99.47506561679788,0.6363636363636364,0.36363636363636365
hard_to_solve__hard_to_judge,97.3753280839895,271,Korean-Easy,C,7.217278957366943,1.6704329252243042,97.3753280839895,7.095734119415283,1.4336814880371094,98.9501312335958,0.5454545454545454,0.5454545454545454
hard_to_solve__hard_to_judge,93.7007874015748,121,Korean-Easy,A,5.568915843963623,2.805675983428955,93.7007874015748,5.929656982421875,1.6146793365478516,97.63779527559056,0.7272727272727273,0.36363636363636365
hard_to_solve__hard_to_judge,93.7007874015748,734,Korean-Hard,A,7.63599967956543,9.39396858215332,97.9002624671916,3.71370005607605,1.0708791017532349,93.7007874015748,0.18181818181818182,0.7272727272727273
hard_to_solve__hard_to_judge,93.43832020997375,669,Korean-Hard,A,5.5020270347595215,1.6135435104370115,93.43832020997375,3.7855992317199703,1.6422053575515747,93.96325459317583,0.09090909090909091,0.6363636363636364
hard_to_solve__hard_to_judge,92.6509186351706,730,Korean-Hard,A,11.461952209472656,0.95871764421463,100.0,3.502955198287964,1.1078150272369385,92.6509186351706,0.2727272727272727,0.5454545454545454
hard_to_solve__hard_to_judge,91.6010498687664,191,Korean-Easy,A,7.814577102661133,0.997051239013672,98.16272965879264,3.3031582832336426,1.0753324031829834,91.6010498687664,0.5454545454545454,0.7272727272727273
hard_to_solve__hard_to_judge,90.5511811023622,261,Korean-Easy,D,6.690845489501953,1.797392725944519,96.3254593175853,3.0817346572875977,1.4149125814437866,90.5511811023622,0.36363636363636365,0.6363636363636364
hard_to_solve__hard_to_judge,90.02624671916011,666,Korean-Hard,B,6.520017147064209,1.5718506574630735,95.53805774278216,3.0164263248443604,0.9580237865447998,90.02624671916011,0.36363636363636365,0.2727272727272727
hard_to_solve__hard_to_judge,89.76377952755905,660,Korean-Hard,C,4.3046875,1.0719393491744995,89.76377952755905,5.878600120544434,1.4109928607940674,97.3753280839895,0.18181818181818182,0.7272727272727273
easy_to_solve__hard_to_judge,94.48818897637796,726,Korean-Hard,D,-4.64643669128418,1.355940580368042,4.724409448818897,4.205893039703369,1.074573993682861,94.48818897637796,0.5454545454545454,0.45454545454545453
easy_to_solve__hard_to_judge,92.38845144356955,7,Korean-Easy,A,-4.193403244018555,5.424661636352539,7.611548556430446,5.312108993530273,1.3248493671417236,96.8503937007874,1.0,0.45454545454545453
easy_to_solve__hard_to_judge,89.76377952755905,162,Korean-Easy,B,-3.877339839935303,2.9054675102233887,10.236220472440944,4.93654203414917,1.0975956916809082,96.58792650918636,0.8181818181818182,0.5454545454545454
easy_to_solve__hard_to_judge,87.13910761154855,59,Korean-Easy,D,-3.7222821712493896,3.509312152862549,12.860892388451443,2.643175840377808,1.7533209323883057,87.92650918635171,0.9090909090909091,0.45454545454545453
easy_to_solve__hard_to_judge,82.67716535433071,243,Korean-Easy,D,-3.259682893753052,1.3775835037231443,17.322834645669293,3.1014347076416016,0.9259571433067322,90.81364829396324,0.7272727272727273,0.45454545454545453
easy_to_solve__hard_to_judge,82.67716535433071,62,Korean-Easy,B,-3.418070077896118,0.8027187585830688,16.010498687664043,2.101562261581421,0.986051380634308,82.67716535433071,0.45454545454545453,0.45454545454545453
easy_to_solve__hard_to_judge,81.36482939632546,95,Korean-Easy,D,-3.1310720443725586,3.3600382804870605,18.635170603674545,2.3415372371673584,1.11604642868042,86.61417322834646,1.0,0.7272727272727273
easy_to_solve__hard_to_judge,78.47769028871392,737,Korean-Hard,D,-2.7602968215942383,1.477900147438049,21.522309711286088,2.572916269302368,1.2585951089859009,87.66404199475065,0.36363636363636365,0.8181818181818182
easy_to_solve__hard_to_judge,77.95275590551181,257,Korean-Easy,B,-3.540467500686645,3.976062059402466,14.173228346456693,1.5485316514968872,0.7338521480560303,77.95275590551181,1.0,0.5454545454545454
easy_to_solve__hard_to_judge,76.37795275590551,698,Korean-Hard,D,-2.276519060134888,0.8034806251525879,23.62204724409449,1.9570131301879885,0.7292121052742004,82.41469816272966,0.5454545454545454,0.2727272727272727
hard_to_solve__easy_to_judge,92.6509186351706,262,Korean-Easy,D,5.1127448081970215,0.8991580009460449,92.6509186351706,-5.1144843101501465,9.57979965209961,2.6246719160104988,0.5454545454545454,1.0
hard_to_solve__easy_to_judge,90.81364829396325,273,Korean-Easy,D,8.519338607788086,0.9415287971496582,98.4251968503937,-3.5849177837371826,2.7726798057556152,9.186351706036746,0.45454545454545453,0.6363636363636364
hard_to_solve__easy_to_judge,90.5511811023622,279,Korean-Easy,B,4.441282749176025,2.350940227508545,90.5511811023622,-4.879115581512451,1.8726661205291748,3.937007874015748,0.7272727272727273,0.8181818181818182
hard_to_solve__easy_to_judge,86.08923884514435,58,Korean-Easy,D,4.643959999084473,2.4469399452209477,92.1259842519685,-2.8136916160583496,3.109449863433838,13.910761154855644,0.7272727272727273,1.0
hard_to_solve__easy_to_judge,85.56430446194226,55,Korean-Easy,D,3.65369725227356,1.891363859176636,87.66404199475065,-2.6634435653686523,2.568603038787842,14.435695538057743,0.7272727272727273,0.6363636363636364
hard_to_solve__easy_to_judge,81.62729658792651,229,Korean-Easy,B,2.069045305252075,1.273681402206421,81.62729658792651,-2.418965101242065,1.1901686191558838,17.322834645669293,0.7272727272727273,0.8181818181818182
hard_to_solve__easy_to_judge,81.10236220472441,729,Korean-Hard,B,1.983353853225708,1.0555109977722168,81.10236220472441,-2.4732437133789062,2.715535879135132,16.535433070866144,0.2727272727272727,0.6363636363636364
