difficulty_bin,solver_difficulty_mean,judge_score_mean,n_items
1,-5.419110188117394,0.6692307692307692,13
2,-2.0920250415802,0.8038461538461538,13
3,-1.5728840644542987,0.7230769230769231,13
4,-1.0376160144805908,0.8423076923076922,13
5,-0.6438605040311813,0.6208333333333332,12
6,-0.3852942150372725,0.5961538461538461,13
7,-0.0812244369433476,0.6217948717948718,13
8,0.19965750475724534,0.65,12
9,0.5569200699145977,0.6192307692307693,13
10,1.3307946645296538,0.5653846153846154,13
11,3.289786907342764,0.7055555555555556,13
12,5.820685313298152,0.6230769230769231,13
