difficulty_bin,judge_score_mean,judge_score_sd,n_judge_models
1,0.6692307692307693,0.12323707528920938,10
2,0.8038461538461539,0.12088050837254535,10
3,0.7230769230769231,0.10540925533894599,10
4,0.8423076923076923,0.1124264680430449,10
5,0.6208333333333333,0.11015211143832418,10
6,0.5961538461538461,0.11923766178037355,10
7,0.621474358974359,0.09399827414589229,10
8,0.65,0.1320540480444968,10
9,0.6192307692307693,0.07353656615230764,10
10,0.5653846153846154,0.06293814209555681,10
11,0.7064102564102563,0.10886117802745528,10
12,0.6230769230769231,0.07649453277013488,10
