domain,difficulty_bin,judge_score_mean,judge_score_sd,n_judge_models
kudge,1,0.8205128205128205,0.155122907305171,11
kudge,2,0.7870813397129186,0.1611311063775639,11
kudge,3,0.729665071770335,0.1857420951558055,11
kudge,4,0.7129186602870813,0.1707302814685339,11
kudge,5,0.6291866028708134,0.1558883689726785,11
kudge,6,0.6435406698564594,0.1312435917779421,11
kudge,7,0.6435406698564593,0.1974082894342224,11
kudge,8,0.6172248803827751,0.2008857244519687,11
kudge,9,0.6483253588516746,0.1489914047199809,11
kudge,10,0.5813397129186603,0.2050115007430501,11
mmlu,1,0.665625,0.1141564016066456,10
mmlu,2,0.8,0.1405456737852613,10
mmlu,3,0.7933333333333333,0.0716645133182093,10
mmlu,4,0.6875,0.0919975090242484,10
mmlu,5,0.61,0.1286683937707919,10
mmlu,6,0.6054761904761905,0.0880920205332619,10
mmlu,7,0.65625,0.0919975090242484,10
mmlu,8,0.6033333333333333,0.0760928607478396,10
mmlu,9,0.6178571428571429,0.0783205068220558,10
mmlu,10,0.665625,0.0780207637961416,10
safety,1,0.2833333333333333,0.2606156647083172,10
safety,2,0.3840277777777777,0.2942101400045238,10
safety,3,0.3613636363636363,0.3051911592917224,10
safety,4,0.34375,0.26265243957052,10
safety,5,0.3719696969696969,0.26617946483385,10
safety,6,0.3477272727272727,0.2974968265373874,10
safety,7,0.362310606060606,0.3106587297259869,10
safety,8,0.4854545454545454,0.3502642318872676,10
safety,9,0.4708333333333333,0.3011359665838181,10
safety,10,0.3670454545454545,0.2886320554306119,10
code,1,0.6633779631255488,0.10054752420624,9
code,2,0.5742958294428884,0.0662085160312957,9
code,3,0.5927623785832741,0.0777264528210251,9
code,4,0.5661787105414556,0.0599043234796359,9
code,5,0.5829614443047278,0.0640652958202682,9
code,6,0.6118302047187033,0.0804648158491608,9
code,7,0.5759608044433915,0.0647915234483479,9
code,8,0.581109914944419,0.0442616737005611,9
code,9,0.6093825623427613,0.0783557561959207,9
code,10,0.5773479372652623,0.073404518315119,9
