item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,selected_order,difficulty_meta,platform,question_content,starter_code,prompt,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
3558,6.645246,6.556765,-6.645246,-3.6049569,factor_1,3558,195,medium,leetcode,,,,27.58611,27.546213,-47.43381,60.547344
2730,6.3248105,6.2363296,-6.3248105,-1.7061945,factor_1,2730,7,medium,leetcode,,,,19.197617,19.170551,-31.33795,43.810608
3777,5.95735,5.868869,-5.95735,-3.4108813,factor_1,3777,278,hard,leetcode,,,,19.386602,19.359243,-32.07525,43.81299
2854,5.8954096,5.8069286,-5.8954096,-4.195698,factor_1,2854,30,medium,leetcode,,,,19.43387,19.406439,-32.22969,43.84355
3771,5.8220954,5.7336144,-5.8220954,-3.7877648,factor_1,3771,276,medium,leetcode,,,,18.457245,18.43133,-30.391794,41.859024
abc324_d,5.773897,5.685416,-5.773897,-4.83416,factor_1,abc324_d,365,hard,atcoder,,,,18.614027,18.587868,-30.746803,42.117638
3230,5.682636,5.594155,-5.682636,-3.0189903,factor_1,3230,92,medium,leetcode,,,,16.492693,16.469854,-26.68676,37.87507
3534,5.6616135,5.5731325,-5.6616135,-4.78567,factor_1,3534,187,medium,leetcode,,,,17.583931,17.55938,-28.843254,39.989517
3166,5.657907,5.569426,-5.657907,-2.4304032,factor_1,3166,73,medium,leetcode,,,,15.419872,15.398732,-24.61209,35.750942
3026,5.554141,5.46566,-5.554141,-1.5414004,factor_1,3026,56,medium,leetcode,,,,12.617961,12.601342,-19.232971,30.164291
arc194_a,5.4378705,5.3493896,-5.4378705,-2.798522,factor_1,arc194_a,667,medium,atcoder,,,,14.347654,14.328227,-22.733936,33.432716
3786,5.430584,5.342103,-5.430584,-3.4679508,factor_1,3786,283,medium,leetcode,,,,14.966626,14.946207,-23.952465,34.63667
abc323_d,5.3168654,5.2283845,-5.3168654,-3.526438,factor_1,abc323_d,361,hard,atcoder,,,,14.188649,14.169477,-22.543793,33.00056
abc341_f,5.3104067,5.2219257,-5.3104067,-2.3523805,factor_1,abc341_f,417,hard,atcoder,,,,12.853882,12.836876,-19.93835,30.382202
arc186_a,5.293061,5.20458,-5.293061,-2.0574636,factor_1,arc186_a,652,hard,atcoder,,,,12.230721,12.214742,-18.736315,29.145475
3416,5.2736387,5.185158,-5.2736387,-1.380143,factor_1,3416,146,medium,leetcode,,,,10.549689,10.536537,-15.466455,25.836771
2921,5.2640553,5.1755743,-5.2640553,-3.1783283,factor_1,2921,46,hard,leetcode,,,,13.5471735,13.529037,-21.34134,31.69249
3502,5.232688,5.144207,-5.232688,-1.9730138,factor_1,3502,176,medium,leetcode,,,,11.709356,11.6942425,-17.776508,28.064922
3799,5.231994,5.143513,-5.231994,-4.4441714,factor_1,3799,290,easy,leetcode,,,,14.084787,14.0657835,-22.425423,32.71245
arc192_d,5.190992,5.102511,-5.190992,-2.6867566,factor_1,arc192_d,664,hard,atcoder,,,,12.56487,12.548339,-19.492235,29.697256
3721,5.1848507,5.0963697,-5.1848507,-1.4297696,factor_1,3721,260,medium,leetcode,,,,10.223735,10.2111435,-14.917472,25.11021
