item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,selected_order,difficulty_meta,platform,question_content,starter_code,prompt,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
abc395_c,13.319883,12.651644,-13.319883,1.1954509,5.47105,factor_2,abc395_c,619,medium,atcoder,,,,1.9823335,2.0078952,8.716169,16.587118
abc371_e,10.044231,9.375992,-10.044231,0.9006458,4.0498023,factor_2,abc371_e,518,hard,atcoder,,,,1.604486,1.6371872,6.1671047,12.584879
abc350_d,10.021183,9.352943,-10.021183,0.8981709,4.0398517,factor_2,abc350_d,438,medium,atcoder,,,,1.6024014,1.6351504,6.1480484,12.557838
abc336_c,9.90316,9.2349205,-9.90316,0.5286701,7.7636805,factor_2,abc336_c,401,medium,atcoder,,,,2.6403751,2.6579275,4.0253825,14.444458
abc339_d,9.21805,8.54981,-9.21805,-0.830668,8.322656,factor_2,abc339_d,409,medium,atcoder,,,,2.3800824,2.4003448,3.8451343,13.254486
abc386_b,9.116863,8.448624,-9.116863,-0.7364282,8.032123,factor_2,abc386_b,582,easy,atcoder,,,,2.3016305,2.3228114,3.8959131,13.001334
1899_D,8.630084,7.961844,-8.630084,-0.7697835,7.7448106,factor_2,1899_D,6,hard,codeforces,,,,2.2184355,2.2406516,3.5701666,12.353521
abc324_c,8.440564,7.772324,-8.440564,0.294993,1.1753274,factor_2,abc324_c,364,medium,atcoder,,,,4.2713842,4.2783604,-0.61326265,16.157911
abc354_a,8.250223,7.581983,-8.250223,0.4239016,6.527285,factor_2,abc354_a,450,easy,atcoder,,,,2.092543,2.1164603,3.4337206,11.730246
abc318_c,8.1339,7.4656596,-8.1339,-0.83032495,7.5116444,factor_2,abc318_c,345,medium,atcoder,,,,2.1409283,2.164171,3.2238846,11.707435
abc373_f,7.4271784,6.7589383,-7.4271784,-0.6460457,6.543663,factor_2,abc373_f,526,hard,atcoder,,,,1.9249002,1.9513845,2.9342246,10.5836525
abc329_c,7.0834074,6.4151673,-7.0834074,1.5078696,4.349853,factor_2,abc329_c,382,medium,atcoder,,,,2.3099458,2.331027,1.8463545,10.98398
abc336_d,6.965606,6.297366,-6.965606,-0.7492964,6.456485,factor_2,abc336_d,402,medium,atcoder,,,,1.897698,1.9246366,2.5250783,10.069654
abc400_d,6.9226227,6.2543826,-6.9226227,0.20557584,0.98210675,factor_2,abc400_d,639,medium,atcoder,,,,2.9574594,2.9722574,0.42875814,12.080008
abc351_f,6.698077,6.029837,-6.698077,-0.7116265,6.180291,factor_2,abc351_f,443,hard,atcoder,,,,1.8415504,1.8694645,2.3656867,9.693988
abc384_e,6.503885,5.8356447,-6.503885,0.17975141,0.92927825,factor_2,abc384_e,574,hard,atcoder,,,,2.6751058,2.6923301,0.5586777,11.112612
abc353_d,6.491624,5.823384,-6.491624,-0.76896524,6.173196,factor_2,abc353_d,448,medium,atcoder,,,,1.8298568,1.8579808,2.1817412,9.465027
abc393_f,6.486404,5.818164,-6.486404,-0.7336999,6.1013384,factor_2,abc393_f,612,hard,atcoder,,,,1.8186388,1.8469665,2.1981094,9.438218
abc362_e,6.3972983,5.7290583,-6.3972983,0.17325197,0.9157716,factor_2,abc362_e,478,hard,atcoder,,,,2.6078784,2.625744,0.58259964,10.875517
abc312_c,6.15139,5.48315,-6.15139,-0.72802716,5.8095555,factor_2,abc312_c,332,medium,atcoder,,,,1.7648964,1.7942317,1.9664559,8.999844
abc304_d,6.0302696,5.3620296,-6.0302696,-3.9833763,3.206531,factor_1,abc304_d,306,medium,atcoder,,,,15.289962,15.271048,-24.569223,35.29328
abc353_c,6.025742,5.357502,-6.025742,-0.7418242,5.736458,factor_2,abc353_c,447,medium,atcoder,,,,1.7503806,1.7799973,1.8687072,8.846296
abc325_d,6.015145,5.3469048,-6.015145,0.14808373,0.8681962,factor_2,abc325_d,369,hard,atcoder,,,,2.381938,2.4021795,0.6386328,10.055177
abc302_d,5.845133,5.1768928,-5.845133,-0.7328062,5.5849648,factor_2,abc302_d,298,medium,atcoder,,,,1.7225242,1.7526934,1.7416136,8.612172
abc331_d,5.8417892,5.173549,-5.8417892,0.13724758,0.8463553,factor_2,abc331_d,390,hard,atcoder,,,,2.2863727,2.3077385,0.65038157,9.696716
abc303_c,5.693717,5.025477,-5.693717,-0.31228176,10.165475,factor_2,abc303_c,302,medium,atcoder,,,,3.361376,3.3732839,-1.5861597,11.637114
abc380_f,5.594328,4.926088,-5.594328,0.11970866,0.8159781,factor_2,abc380_f,559,hard,atcoder,,,,2.1578283,2.1808417,0.65163803,9.200538
abc377_d,5.583049,4.9148088,-5.583049,-0.6684484,5.202049,factor_2,abc377_d,542,medium,atcoder,,,,1.6639524,1.6953374,1.5919473,8.23767
abc323_e,5.4401684,4.7719283,-5.4401684,-3.6861463,2.9393811,factor_1,abc323_e,362,hard,atcoder,,,,11.5278015,11.515671,-17.798786,27.342644
abc345_d,5.227516,4.559276,-5.227516,-0.71805567,5.093111,factor_2,abc345_d,427,hard,atcoder,,,,1.6370035,1.6689744,1.2880862,7.8304663
abc342_d,5.180551,4.512311,-5.180551,-0.68100846,4.9684467,factor_2,abc342_d,419,medium,atcoder,,,,1.6193956,1.6517587,1.274864,7.749758
abc320_d,5.029323,4.361083,-5.029323,-2.7443485,2.4197683,factor_1,abc320_d,351,medium,atcoder,,,,8.31417,8.308702,-11.923974,20.646141
abc308_b,4.9764123,4.308172,-4.9764123,0.9178832,7.5387816,factor_2,abc308_b,316,easy,atcoder,,,,2.1334689,2.1568139,0.080816746,8.535528
abc303_b,4.952959,4.284719,-4.952959,0.9221824,7.3500576,factor_2,abc303_b,301,easy,atcoder,,,,2.0973399,2.121189,0.1271882,8.442249
abc369_d,4.8948817,4.2266417,-4.8948817,-2.3165305,2.2031453,factor_1,abc369_d,509,medium,atcoder,,,,7.12361,7.121047,-9.730611,18.183895
abc396_e,4.831354,4.163114,-4.831354,-3.8815744,2.9256847,factor_1,abc396_e,623,hard,atcoder,,,,9.250328,9.242783,-13.95274,22.278969
abc324_e,4.8240433,4.155803,-4.8240433,-2.100571,2.0901146,factor_1,abc324_e,366,hard,atcoder,,,,6.501842,6.5009613,-8.586081,16.897688
2878,4.610814,3.942574,-4.610814,-1.8592385,-1.1301744,factor_1,2878,37,medium,leetcode,,,,19.955297,19.928608,-35.1175,43.002647
abc309_b,4.5567083,3.8884683,-4.5567083,-2.9133828,2.4050953,factor_1,abc309_b,321,easy,atcoder,,,,7.131187,7.128604,-10.083595,17.860533
2868,4.5566854,3.8884454,-4.5566854,-2.3555818,-1.5231061,factor_1,2868,33,medium,leetcode,,,,28.204987,28.165249,-51.31544,59.092335
