solver_item_id,solver_difficulty,solver_difficulty_centered,solver_easiness_z,solver_loading_factor_1,solver_dominant_factor,solver_item_id_meta,solver_selected_order,solver_difficulty_meta,solver_platform,solver_question_content,solver_starter_code,solver_prompt,solver_difficulty_laplace_se,solver_difficulty_centered_laplace_se,solver_difficulty_centered_laplace_lo,solver_difficulty_centered_laplace_hi,solver_scores,question_id,judge_item_ids,judge_pair_ids,judge_splits,judge_orderings,judge_gold_labels,judge_n_pair_items,judge_difficulty_meta,judge_difficulty,judge_difficulty_centered,judge_difficulty_pair_sd,judge_difficulty_laplace_se,judge_difficulty_centered_laplace_se,judge_dominant_factors,judge_scores
3558,6.6452460289001465,6.556765079498291,-6.6452460289001465,-3.604956865310669,factor_1,3558,195,medium,leetcode,,,,27.586109161376953,27.546213150024414,-47.43381118774414,60.54734420776367,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3558,"['claude_3.7_sonnet:3558:236:bwd', 'gemini_2.5_flash_lite:3558:104:bwd', 'gemini_2.5_flash:3558:349:fwd', 'qwen3_235b:3558:53:fwd']","['claude_3.7_sonnet:3558:236', 'gemini_2.5_flash_lite:3558:104', 'gemini_2.5_flash:3558:349', 'qwen3_235b:3558:53']","['claude_3.7_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'qwen3_235b']","['bwd', 'fwd']","{'claude_3.7_sonnet:3558:236:bwd': 'B', 'gemini_2.5_flash_lite:3558:104:bwd': 'B', 'gemini_2.5_flash:3558:349:fwd': 'A', 'qwen3_235b:3558:53:fwd': 'A'}",4,medium,3.264903798699379,4.900655642151833,7.404715703885659,2.126866001736414,2.1262614164286564,"{'claude_3.7_sonnet:3558:236:bwd': 'factor_1', 'gemini_2.5_flash_lite:3558:104:bwd': 'factor_1', 'gemini_2.5_flash:3558:349:fwd': 'factor_1', 'qwen3_235b:3558:53:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.25, 'mistral_14b': 0.5, 'mistral_3b': 0.5, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.75, 'qwen3_5_2b': 0.25, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.25}"
2730,6.32481050491333,6.236329555511475,-6.32481050491333,-1.706194519996643,factor_1,2730,7,medium,leetcode,,,,19.197616577148438,19.170551300048828,-31.337949752807617,43.81060791015625,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",2730,['gemini_2.5_flash:2730:303:bwd'],['gemini_2.5_flash:2730:303'],['gemini_2.5_flash'],['bwd'],{'gemini_2.5_flash:2730:303:bwd': 'B'},1,easy,-7.56349515914917,-5.927743434906006,0.0,5.300238132476807,5.298370838165283,{'gemini_2.5_flash:2730:303:bwd': 'factor_1'},"{'claude_haiku_4_5': 1.0, 'mistral_14b': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_27b': 1.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 1.0}"
3777,5.95734977722168,5.868868827819824,-5.95734977722168,-3.410881280899048,factor_1,3777,278,hard,leetcode,,,,19.3866024017334,19.359243392944336,-32.07524871826172,43.81298828125,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3777,"['claude_3.7_sonnet:3777:88:fwd', 'claude_4_sonnet:3777:119:fwd', 'gemini_2.5_flash_lite:3777:164:fwd']","['claude_3.7_sonnet:3777:88', 'claude_4_sonnet:3777:119', 'gemini_2.5_flash_lite:3777:164']","['claude_3.7_sonnet', 'claude_4_sonnet', 'gemini_2.5_flash_lite']",['fwd'],"{'claude_3.7_sonnet:3777:88:fwd': 'A', 'claude_4_sonnet:3777:119:fwd': 'A', 'gemini_2.5_flash_lite:3777:164:fwd': 'A'}",3,hard,-1.3044948975245159,0.3312568664550781,4.62918661679343,1.0656392170994453,1.0662151711275514,"{'claude_3.7_sonnet:3777:88:fwd': 'factor_1', 'claude_4_sonnet:3777:119:fwd': 'factor_1', 'gemini_2.5_flash_lite:3777:164:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.3333333333333333, 'mistral_14b': 0.6666666666666666, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 1.0, 'qwen3_5_0_8b': 0.6666666666666666, 'qwen3_5_27b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0}"
2854,5.89540958404541,5.806928634643555,-5.89540958404541,-4.195697784423828,factor_1,2854,30,medium,leetcode,,,,19.433870315551758,19.40643882751465,-32.22969055175781,43.84355163574219,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",2854,"['claude_3.7_sonnet:2854:190:fwd', 'qwen3_235b:2854:6:fwd']","['claude_3.7_sonnet:2854:190', 'qwen3_235b:2854:6']","['claude_3.7_sonnet', 'qwen3_235b']",['fwd'],"{'claude_3.7_sonnet:2854:190:fwd': 'A', 'qwen3_235b:2854:6:fwd': 'A'}",2,hard,-0.022473812103271484,1.6132779121398926,11.68997330895401,3.8371049056709747,3.8357309981349834,"{'claude_3.7_sonnet:2854:190:fwd': 'factor_1', 'qwen3_235b:2854:6:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.5, 'mistral_14b': 0.5, 'mistral_3b': 1.0, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.5}"
3771,5.8220953941345215,5.733614444732666,-5.8220953941345215,-3.78776478767395,factor_1,3771,276,medium,leetcode,,,,18.457244873046875,18.43132972717285,-30.391794204711914,41.85902404785156,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3771,"['qwen3_235b:3771:96:bwd', 'gemini_2.5_flash_lite:3771:162:fwd', 'gemini_2.5_flash:3771:118:bwd', 'claude_4_sonnet:3771:117:fwd', 'claude_4_opus:3771:76:fwd', 'gemini_2.5_pro:3771:68:fwd']","['qwen3_235b:3771:96', 'gemini_2.5_flash_lite:3771:162', 'gemini_2.5_flash:3771:118', 'claude_4_sonnet:3771:117', 'claude_4_opus:3771:76', 'gemini_2.5_pro:3771:68']","['claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro', 'qwen3_235b']","['bwd', 'fwd']","{'qwen3_235b:3771:96:bwd': 'B', 'gemini_2.5_flash_lite:3771:162:fwd': 'A', 'gemini_2.5_flash:3771:118:bwd': 'B', 'claude_4_sonnet:3771:117:fwd': 'A', 'claude_4_opus:3771:76:fwd': 'A', 'gemini_2.5_pro:3771:68:fwd': 'A'}",6,medium,2.023090216020743,3.6588419874509177,6.8366571077189064,1.6567539833994387,1.6563144186540628,"{'qwen3_235b:3771:96:bwd': 'factor_1', 'gemini_2.5_flash_lite:3771:162:fwd': 'factor_1', 'gemini_2.5_flash:3771:118:bwd': 'factor_1', 'claude_4_sonnet:3771:117:fwd': 'factor_1', 'claude_4_opus:3771:76:fwd': 'factor_1', 'gemini_2.5_pro:3771:68:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.3333333333333333, 'mistral_14b': 0.3333333333333333, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.6666666666666666, 'qwen3_5_27b': 0.16666666666666666, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.3333333333333333, 'qwen3_5_9b': 0.16666666666666666}"
abc324_d,5.773897171020508,5.685416221618652,-5.773897171020508,-4.834159851074219,factor_1,abc324_d,365,hard,atcoder,,,,18.61402702331543,18.587867736816406,-30.746803283691406,42.117637634277344,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",abc324_d,"['gemini_2.5_flash:abc324_d:161:fwd', 'gemini_2.5_flash_lite:abc324_d:216:fwd', 'gemini_2.5_pro:abc324_d:89:fwd']","['gemini_2.5_flash:abc324_d:161', 'gemini_2.5_flash_lite:abc324_d:216', 'gemini_2.5_pro:abc324_d:89']","['gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro']",['fwd'],"{'gemini_2.5_flash:abc324_d:161:fwd': 'A', 'gemini_2.5_flash_lite:abc324_d:216:fwd': 'A', 'gemini_2.5_pro:abc324_d:89:fwd': 'A'}",3,hard,0.3566461404164632,1.992397944132487,3.461039169928143,0.7591790983054424,0.7603371772674086,"{'gemini_2.5_flash:abc324_d:161:fwd': 'factor_1', 'gemini_2.5_flash_lite:abc324_d:216:fwd': 'factor_1', 'gemini_2.5_pro:abc324_d:89:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.6666666666666666, 'mistral_14b': 1.0, 'mistral_3b': 1.0, 'mistral_8b': 0.6666666666666666, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.3333333333333333, 'qwen3_5_2b': 0.3333333333333333, 'qwen3_5_4b': 0.3333333333333333, 'qwen3_5_9b': 0.0}"
3230,5.68263578414917,5.5941548347473145,-5.68263578414917,-3.0189902782440186,factor_1,3230,92,medium,leetcode,,,,16.492692947387695,16.4698543548584,-26.68675994873047,37.87506866455078,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3230,"['claude_4_sonnet:3230:37:fwd', 'gemini_2.5_pro:3230:6:fwd', 'claude_3.7_sonnet:3230:207:fwd']","['claude_4_sonnet:3230:37', 'gemini_2.5_pro:3230:6', 'claude_3.7_sonnet:3230:207']","['claude_3.7_sonnet', 'claude_4_sonnet', 'gemini_2.5_pro']",['fwd'],"{'claude_4_sonnet:3230:37:fwd': 'A', 'gemini_2.5_pro:3230:6:fwd': 'A', 'claude_3.7_sonnet:3230:207:fwd': 'A'}",3,easy,-2.61492653687795,-0.9791747331619263,2.2870387412655173,1.5206748889252635,1.520710641373272,"{'claude_4_sonnet:3230:37:fwd': 'factor_1', 'gemini_2.5_pro:3230:6:fwd': 'factor_1', 'claude_3.7_sonnet:3230:207:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.6666666666666666, 'mistral_14b': 1.0, 'mistral_3b': 1.0, 'mistral_8b': 0.6666666666666666, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.6666666666666666, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 0.6666666666666666, 'qwen3_5_9b': 0.6666666666666666}"
3534,5.661613464355469,5.573132514953613,-5.661613464355469,-4.785669803619385,factor_1,3534,187,medium,leetcode,,,,17.58393096923828,17.55937957763672,-28.84325408935547,39.98951721191406,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3534,"['gemini_2.5_flash_lite:3534:99:bwd', 'gemini_2.5_flash:3534:64:fwd', 'claude_3.7_sonnet:3534:234:fwd', 'gemini_2.5_pro:3534:29:bwd', 'claude_4_opus:3534:45:fwd']","['gemini_2.5_flash_lite:3534:99', 'gemini_2.5_flash:3534:64', 'claude_3.7_sonnet:3534:234', 'gemini_2.5_pro:3534:29', 'claude_4_opus:3534:45']","['claude_3.7_sonnet', 'claude_4_opus', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:3534:99:bwd': 'B', 'gemini_2.5_flash:3534:64:fwd': 'A', 'claude_3.7_sonnet:3534:234:fwd': 'A', 'gemini_2.5_pro:3534:29:bwd': 'B', 'claude_4_opus:3534:45:fwd': 'A'}",5,hard,1.583715844154358,3.2194676637649535,3.6731077788261515,0.79808030511123,0.7985681871079813,"{'gemini_2.5_flash_lite:3534:99:bwd': 'factor_1', 'gemini_2.5_flash:3534:64:fwd': 'factor_1', 'claude_3.7_sonnet:3534:234:fwd': 'factor_1', 'gemini_2.5_pro:3534:29:bwd': 'factor_1', 'claude_4_opus:3534:45:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.8, 'mistral_14b': 0.2, 'mistral_3b': 0.4, 'mistral_8b': 0.2, 'qwen3_5_0_8b': 0.6, 'qwen3_5_27b': 0.6, 'qwen3_5_2b': 0.4, 'qwen3_5_4b': 0.6, 'qwen3_5_9b': 0.6}"
3166,5.657907009124756,5.5694260597229,-5.657907009124756,-2.430403232574463,factor_1,3166,73,medium,leetcode,,,,15.419872283935547,15.39873218536377,-24.612089157104492,35.75094223022461,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3166,"['gemini_2.5_flash_lite:3166:36:fwd', 'claude_3.7_sonnet:3166:199:fwd', 'claude_4_sonnet:3166:31:bwd', 'gemini_2.5_flash:3166:21:bwd']","['gemini_2.5_flash_lite:3166:36', 'claude_3.7_sonnet:3166:199', 'claude_4_sonnet:3166:31', 'gemini_2.5_flash:3166:21']","['claude_3.7_sonnet', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:3166:36:fwd': 'A', 'claude_3.7_sonnet:3166:199:fwd': 'A', 'claude_4_sonnet:3166:31:bwd': 'B', 'gemini_2.5_flash:3166:21:bwd': 'B'}",4,hard,0.6552248597145081,2.2909766137599945,6.862841042167769,1.3156334788435367,1.3156656912628804,"{'gemini_2.5_flash_lite:3166:36:fwd': 'factor_1', 'claude_3.7_sonnet:3166:199:fwd': 'factor_1', 'claude_4_sonnet:3166:31:bwd': 'factor_1', 'gemini_2.5_flash:3166:21:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.5, 'mistral_14b': 0.5, 'mistral_3b': 0.25, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.75, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.5}"
3026,5.554141044616699,5.465660095214844,-5.554141044616699,-1.54140043258667,factor_1,3026,56,medium,leetcode,,,,12.617960929870605,12.60134220123291,-19.23297119140625,30.164291381835938,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 0.0}",3026,"['gemini_2.5_flash:3026:319:bwd', 'claude_4_sonnet:3026:22:bwd', 'gemini_2.5_flash_lite:3026:28:fwd', 'claude_4_opus:3026:13:bwd']","['gemini_2.5_flash:3026:319', 'claude_4_sonnet:3026:22', 'gemini_2.5_flash_lite:3026:28', 'claude_4_opus:3026:13']","['claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'gemini_2.5_flash:3026:319:bwd': 'B', 'claude_4_sonnet:3026:22:bwd': 'B', 'gemini_2.5_flash_lite:3026:28:fwd': 'A', 'claude_4_opus:3026:13:bwd': 'B'}",4,medium,4.359590902924538,5.99534273147583,3.649432101546554,1.284830081952333,1.2848927739190281,"{'gemini_2.5_flash:3026:319:bwd': 'factor_1', 'claude_4_sonnet:3026:22:bwd': 'factor_1', 'gemini_2.5_flash_lite:3026:28:fwd': 'factor_1', 'claude_4_opus:3026:13:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.25, 'mistral_14b': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.25, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.25, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.5}"
