solver_item_id,solver_difficulty,solver_difficulty_centered,solver_easiness_z,solver_loading_factor_1,solver_loading_factor_2,solver_dominant_factor,solver_item_id_meta,solver_selected_order,solver_difficulty_meta,solver_platform,solver_question_content,solver_starter_code,solver_prompt,solver_difficulty_laplace_se,solver_difficulty_centered_laplace_se,solver_difficulty_centered_laplace_lo,solver_difficulty_centered_laplace_hi,solver_scores,question_id,judge_item_ids,judge_pair_ids,judge_splits,judge_orderings,judge_gold_labels,judge_n_pair_items,judge_difficulty_meta,judge_difficulty,judge_difficulty_centered,judge_difficulty_pair_sd,judge_difficulty_laplace_se,judge_difficulty_centered_laplace_se,judge_dominant_factors,judge_scores
abc395_c,13.319883346557617,12.651643753051758,-13.319883346557617,1.1954509019851685,5.471049785614014,factor_2,abc395_c,619,medium,atcoder,,,,1.9823335409164429,2.0078952312469482,8.716169357299805,16.58711814880371,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc395_c,['claude_3.7_sonnet:abc395_c:167:bwd'],['claude_3.7_sonnet:abc395_c:167'],['claude_3.7_sonnet'],['bwd'],{'claude_3.7_sonnet:abc395_c:167:bwd': 'B'},1,hard,1.0188863277435303,2.4329819679260254,0.0,0.7626470923423767,0.7719874978065491,{'claude_3.7_sonnet:abc395_c:167:bwd': 'factor_2'},"{'claude_haiku_4_5': 0.0, 'mistral_14b': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_27b': 1.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0}"
abc371_e,10.044231414794922,9.375991821289062,-10.044231414794922,0.9006457924842834,4.049802303314209,factor_2,abc371_e,518,hard,atcoder,,,,1.6044859886169434,1.6371872425079346,6.167104721069336,12.584878921508789,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc371_e,"['gemini_2.5_flash_lite:abc371_e:307:bwd', 'claude_3.7_sonnet:abc371_e:299:fwd', 'claude_4_opus:abc371_e:156:bwd', 'claude_4_sonnet:abc371_e:221:bwd']","['gemini_2.5_flash_lite:abc371_e:307', 'claude_3.7_sonnet:abc371_e:299', 'claude_4_opus:abc371_e:156', 'claude_4_sonnet:abc371_e:221']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:abc371_e:307:bwd': 'B', 'claude_3.7_sonnet:abc371_e:299:fwd': 'A', 'claude_4_opus:abc371_e:156:bwd': 'B', 'claude_4_sonnet:abc371_e:221:bwd': 'B'}",4,hard,-2.018343299627304,-0.6042478084564209,2.4671345476407573,1.3879387630119102,1.3886193618409797,"{'gemini_2.5_flash_lite:abc371_e:307:bwd': 'factor_1', 'claude_3.7_sonnet:abc371_e:299:fwd': 'factor_2', 'claude_4_opus:abc371_e:156:bwd': 'factor_2', 'claude_4_sonnet:abc371_e:221:bwd': 'factor_2'}","{'claude_haiku_4_5': 0.5, 'mistral_14b': 1.0, 'mistral_3b': 0.75, 'mistral_8b': 0.75, 'qwen3_5_0_8b': 0.75, 'qwen3_5_27b': 1.0, 'qwen3_5_2b': 0.6666666666666666, 'qwen3_5_4b': 0.75, 'qwen3_5_9b': 0.75}"
abc350_d,10.021183013916016,9.352943420410156,-10.021183013916016,0.8981708884239197,4.039851665496826,factor_2,abc350_d,438,medium,atcoder,,,,1.6024013757705688,1.63515043258667,6.148048400878906,12.557838439941406,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc350_d,"['gemini_2.5_pro:abc350_d:104:bwd', 'claude_4_sonnet:abc350_d:195:fwd', 'gemini_2.5_flash_lite:abc350_d:258:fwd', 'claude_4_opus:abc350_d:139:fwd']","['gemini_2.5_pro:abc350_d:104', 'claude_4_sonnet:abc350_d:195', 'gemini_2.5_flash_lite:abc350_d:258', 'claude_4_opus:abc350_d:139']","['claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash_lite', 'gemini_2.5_pro']","['bwd', 'fwd']","{'gemini_2.5_pro:abc350_d:104:bwd': 'B', 'claude_4_sonnet:abc350_d:195:fwd': 'A', 'gemini_2.5_flash_lite:abc350_d:258:fwd': 'A', 'claude_4_opus:abc350_d:139:fwd': 'A'}",4,hard,-1.9557968080043793,-0.5417013168334961,4.745707791466003,1.6818602132973308,1.682166965440511,"{'gemini_2.5_pro:abc350_d:104:bwd': 'factor_1', 'claude_4_sonnet:abc350_d:195:fwd': 'factor_1', 'gemini_2.5_flash_lite:abc350_d:258:fwd': 'factor_2', 'claude_4_opus:abc350_d:139:fwd': 'factor_2'}","{'claude_haiku_4_5': 0.5, 'mistral_14b': 0.6666666666666666, 'mistral_3b': 0.75, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.75, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.25, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.25}"
abc336_c,9.903160095214844,9.234920501708984,-9.903160095214844,0.528670072555542,7.763680458068848,factor_2,abc336_c,401,medium,atcoder,,,,2.6403751373291016,2.6579275131225586,4.0253825187683105,14.4444580078125,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc336_c,['gemini_2.5_flash_lite:abc336_c:233:fwd'],['gemini_2.5_flash_lite:abc336_c:233'],['gemini_2.5_flash_lite'],['fwd'],{'gemini_2.5_flash_lite:abc336_c:233:fwd': 'A'},1,medium,-0.8173505067825317,0.5967450141906738,0.0,0.8513994216918945,0.8596969246864319,{'gemini_2.5_flash_lite:abc336_c:233:fwd': 'factor_2'},"{'claude_haiku_4_5': 1.0, 'mistral_14b': 1.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0}"
abc339_d,9.218050003051758,8.549810409545898,-9.218050003051758,-0.8306679725646973,8.32265567779541,factor_2,abc339_d,409,medium,atcoder,,,,2.380082368850708,2.4003448486328125,3.8451342582702637,13.254486083984375,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc339_d,"['claude_4_opus:abc339_d:128:bwd', 'claude_4_sonnet:abc339_d:180:fwd', 'gemini_2.5_flash:abc339_d:179:fwd', 'claude_3.7_sonnet:abc339_d:277:bwd', 'gemini_2.5_flash_lite:abc339_d:240:bwd', 'qwen3_235b:abc339_d:130:bwd', 'gemini_2.5_pro:abc339_d:227:fwd']","['claude_4_opus:abc339_d:128', 'claude_4_sonnet:abc339_d:180', 'gemini_2.5_flash:abc339_d:179', 'claude_3.7_sonnet:abc339_d:277', 'gemini_2.5_flash_lite:abc339_d:240', 'qwen3_235b:abc339_d:130', 'gemini_2.5_pro:abc339_d:227']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro', 'qwen3_235b']","['bwd', 'fwd']","{'claude_4_opus:abc339_d:128:bwd': 'B', 'claude_4_sonnet:abc339_d:180:fwd': 'A', 'gemini_2.5_flash:abc339_d:179:fwd': 'A', 'claude_3.7_sonnet:abc339_d:277:bwd': 'B', 'gemini_2.5_flash_lite:abc339_d:240:bwd': 'B', 'qwen3_235b:abc339_d:130:bwd': 'B', 'gemini_2.5_pro:abc339_d:227:fwd': 'A'}",7,hard,1.6225792041846685,3.0366746953555515,2.086500086452335,0.8793603770660846,0.8801511171321207,"{'claude_4_opus:abc339_d:128:bwd': 'factor_1', 'claude_4_sonnet:abc339_d:180:fwd': 'factor_1', 'gemini_2.5_flash:abc339_d:179:fwd': 'factor_2', 'claude_3.7_sonnet:abc339_d:277:bwd': 'factor_1', 'gemini_2.5_flash_lite:abc339_d:240:bwd': 'factor_2', 'qwen3_235b:abc339_d:130:bwd': 'factor_2', 'gemini_2.5_pro:abc339_d:227:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.5714285714285714, 'mistral_14b': 0.42857142857142855, 'mistral_3b': 0.42857142857142855, 'mistral_8b': 0.42857142857142855, 'qwen3_5_0_8b': 0.42857142857142855, 'qwen3_5_27b': 0.2857142857142857, 'qwen3_5_2b': 0.5714285714285714, 'qwen3_5_4b': 0.5714285714285714, 'qwen3_5_9b': 0.14285714285714285}"
abc386_b,9.116863250732422,8.448623657226562,-9.116863250732422,-0.7364282011985779,8.032122611999512,factor_2,abc386_b,582,easy,atcoder,,,,2.3016304969787598,2.3228113651275635,3.8959131240844727,13.001334190368652,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc386_b,['gemini_2.5_flash_lite:abc386_b:349:fwd'],['gemini_2.5_flash_lite:abc386_b:349'],['gemini_2.5_flash_lite'],['fwd'],{'gemini_2.5_flash_lite:abc386_b:349:fwd': 'A'},1,easy,-7.075739860534668,-5.661644458770752,0.0,3.58903431892395,3.5894014835357666,{'gemini_2.5_flash_lite:abc386_b:349:fwd': 'factor_2'},"{'claude_haiku_4_5': 1.0, 'mistral_14b': 1.0, 'mistral_3b': 1.0, 'mistral_8b': 0.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 1.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0}"
1899_D,8.630084037780762,7.961843967437744,-8.630084037780762,-0.7697834968566895,7.744810581207275,factor_2,1899_D,6,hard,codeforces,,,,2.218435525894165,2.2406516075134277,3.57016658782959,12.353521347045898,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",1899_D,"['claude_3.7_sonnet:1899_D:3:fwd', 'gemini_2.5_flash_lite:1899_D:2:bwd']","['claude_3.7_sonnet:1899_D:3', 'gemini_2.5_flash_lite:1899_D:2']","['claude_3.7_sonnet', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'claude_3.7_sonnet:1899_D:3:fwd': 'A', 'gemini_2.5_flash_lite:1899_D:2:bwd': 'B'}",2,easy,-2.9351965188980103,-1.52110093832016,0.8180090480787183,2.8436404948162854,2.843597108611253,"{'claude_3.7_sonnet:1899_D:3:fwd': 'factor_2', 'gemini_2.5_flash_lite:1899_D:2:bwd': 'factor_1'}","{'claude_haiku_4_5': 1.0, 'mistral_14b': 0.0, 'mistral_3b': 1.0, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 1.0, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 1.0}"
abc324_c,8.440564155578613,7.772324085235596,-8.440564155578613,0.29499301314353943,1.1753274202346802,factor_2,abc324_c,364,medium,atcoder,,,,4.271384239196777,4.278360366821289,-0.6132626533508301,16.15791130065918,"{'claude_haiku_4_5': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc324_c,"['claude_4_opus:abc324_c:113:fwd', 'claude_4_sonnet:abc324_c:158:bwd', 'claude_3.7_sonnet:abc324_c:264:fwd']","['claude_4_opus:abc324_c:113', 'claude_4_sonnet:abc324_c:158', 'claude_3.7_sonnet:abc324_c:264']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet']","['bwd', 'fwd']","{'claude_4_opus:abc324_c:113:fwd': 'A', 'claude_4_sonnet:abc324_c:158:bwd': 'B', 'claude_3.7_sonnet:abc324_c:264:fwd': 'A'}",3,hard,0.7207766969998678,2.134872237841288,2.6912436242925994,2.650615579829576,2.6502912192855965,"{'claude_4_opus:abc324_c:113:fwd': 'factor_2', 'claude_4_sonnet:abc324_c:158:bwd': 'factor_2', 'claude_3.7_sonnet:abc324_c:264:fwd': 'factor_2'}","{'claude_haiku_4_5': 0.0, 'mistral_14b': 0.6666666666666666, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'qwen3_5_0_8b': 0.6666666666666666, 'qwen3_5_27b': 0.6666666666666666, 'qwen3_5_2b': 0.3333333333333333, 'qwen3_5_4b': 0.3333333333333333, 'qwen3_5_9b': 0.6666666666666666}"
abc354_a,8.250223159790039,7.5819830894470215,-8.250223159790039,0.42390158772468567,6.527285099029541,factor_2,abc354_a,450,easy,atcoder,,,,2.092542886734009,2.1164603233337402,3.433720588684082,11.730245590209961,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0, 'qwen3_5_27b': 1.0}",abc354_a,['claude_3.7_sonnet:abc354_a:289:fwd'],['claude_3.7_sonnet:abc354_a:289'],['claude_3.7_sonnet'],['fwd'],{'claude_3.7_sonnet:abc354_a:289:fwd': 'A'},1,easy,-6.904374599456787,-5.490279197692871,0.0,2.331761360168457,2.33384370803833,{'claude_3.7_sonnet:abc354_a:289:fwd': 'factor_1'},"{'claude_haiku_4_5': 1.0, 'mistral_14b': 1.0, 'mistral_3b': 1.0, 'mistral_8b': 1.0, 'qwen3_5_0_8b': 1.0, 'qwen3_5_27b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 1.0}"
abc318_c,8.133899688720703,7.4656596183776855,-8.133899688720703,-0.8303249478340149,7.51164436340332,factor_2,abc318_c,345,medium,atcoder,,,,2.140928268432617,2.164170980453491,3.2238845825195312,11.70743465423584,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc318_c,"['gemini_2.5_flash_lite:abc318_c:203:bwd', 'claude_3.7_sonnet:abc318_c:103:bwd', 'claude_4_opus:abc318_c:107:fwd', 'claude_4_sonnet:abc318_c:149:fwd']","['gemini_2.5_flash_lite:abc318_c:203', 'claude_3.7_sonnet:abc318_c:103', 'claude_4_opus:abc318_c:107', 'claude_4_sonnet:abc318_c:149']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:abc318_c:203:bwd': 'B', 'claude_3.7_sonnet:abc318_c:103:bwd': 'B', 'claude_4_opus:abc318_c:107:fwd': 'A', 'claude_4_sonnet:abc318_c:149:fwd': 'A'}",4,hard,-4.638914726674557,-3.224819302558899,3.544013485594588,3.8910370719048673,3.8896646072174996,"{'gemini_2.5_flash_lite:abc318_c:203:bwd': 'factor_2', 'claude_3.7_sonnet:abc318_c:103:bwd': 'factor_1', 'claude_4_opus:abc318_c:107:fwd': 'factor_2', 'claude_4_sonnet:abc318_c:149:fwd': 'factor_1'}","{'claude_haiku_4_5': 1.0, 'mistral_14b': 0.5, 'mistral_3b': 0.5, 'mistral_8b': 0.75, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.75, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.75}"
abc373_f,7.427178382873535,6.758938312530518,-7.427178382873535,-0.6460456848144531,6.543663024902344,factor_2,abc373_f,526,hard,atcoder,,,,1.9249001741409302,1.9513845443725586,2.9342246055603027,10.58365249633789,"{'claude_haiku_4_5': 1.0, 'mistral_3b': 0.0, 'mistral_8b': 1.0, 'mistral_14b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_2b': 0.0, 'qwen3_5_4b': 0.0, 'qwen3_5_9b': 0.0, 'qwen3_5_27b': 1.0}",abc373_f,"['gemini_2.5_pro:abc373_f:131:fwd', 'qwen3_235b:abc373_f:159:bwd']","['gemini_2.5_pro:abc373_f:131', 'qwen3_235b:abc373_f:159']","['gemini_2.5_pro', 'qwen3_235b']","['bwd', 'fwd']","{'gemini_2.5_pro:abc373_f:131:fwd': 'A', 'qwen3_235b:abc373_f:159:bwd': 'B'}",2,hard,-0.36576104164123535,1.0483343601226807,6.1222596440621695,6.270310543287419,6.267922151366153,"{'gemini_2.5_pro:abc373_f:131:fwd': 'factor_1', 'qwen3_235b:abc373_f:159:bwd': 'factor_2'}","{'claude_haiku_4_5': 0.5, 'mistral_14b': 0.5, 'mistral_3b': 0.0, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.5}"
