difficulty_bin,judge_model,judge_score_mean,n_items
1,claudehaiku4520251001,0.9487179487179487,39
1,claudeopus47,1.0,39
1,claudesonnet46,0.9743589743589743,39
1,ministral14b,0.9487179487179487,39
1,ministral3b,0.8974358974358975,39
1,ministral8b,0.8717948717948718,39
1,qwen3508b,0.5897435897435898,39
1,qwen3527b,0.7435897435897436,39
1,qwen352b,0.8205128205128205,39
1,qwen354b,0.6153846153846154,39
1,qwen359b,0.6153846153846154,39
2,claudehaiku4520251001,0.9210526315789473,38
2,claudeopus47,1.0,38
2,claudesonnet46,0.9473684210526315,38
2,ministral14b,0.9210526315789473,38
2,ministral3b,0.8157894736842105,38
2,ministral8b,0.8947368421052632,38
2,qwen3508b,0.6578947368421053,38
2,qwen3527b,0.5526315789473685,38
2,qwen352b,0.7368421052631579,38
2,qwen354b,0.6052631578947368,38
2,qwen359b,0.6052631578947368,38
3,claudehaiku4520251001,0.9210526315789473,38
3,claudeopus47,0.9736842105263158,38
3,claudesonnet46,0.9473684210526315,38
3,ministral14b,0.8157894736842105,38
3,ministral3b,0.7631578947368421,38
3,ministral8b,0.6578947368421053,38
3,qwen3508b,0.5263157894736842,38
3,qwen3527b,0.3684210526315789,38
3,qwen352b,0.7631578947368421,38
3,qwen354b,0.631578947368421,38
3,qwen359b,0.6578947368421053,38
4,claudehaiku4520251001,0.8421052631578947,38
4,claudeopus47,1.0,38
4,claudesonnet46,0.8421052631578947,38
4,ministral14b,0.8157894736842105,38
4,ministral3b,0.7105263157894737,38
4,ministral8b,0.7368421052631579,38
4,qwen3508b,0.5,38
4,qwen3527b,0.47368421052631576,38
4,qwen352b,0.8157894736842105,38
4,qwen354b,0.5526315789473685,38
4,qwen359b,0.5526315789473685,38
5,claudehaiku4520251001,0.7631578947368421,38
5,claudeopus47,0.9473684210526315,38
5,claudesonnet46,0.7631578947368421,38
5,ministral14b,0.5789473684210527,38
5,ministral3b,0.5263157894736842,38
5,ministral8b,0.6052631578947368,38
5,qwen3508b,0.34210526315789475,38
5,qwen3527b,0.6578947368421053,38
5,qwen352b,0.6052631578947368,38
5,qwen354b,0.5789473684210527,38
5,qwen359b,0.5526315789473685,38
6,claudehaiku4520251001,0.7631578947368421,38
6,claudeopus47,0.8947368421052632,38
6,claudesonnet46,0.7368421052631579,38
6,ministral14b,0.631578947368421,38
6,ministral3b,0.5789473684210527,38
6,ministral8b,0.7105263157894737,38
6,qwen3508b,0.42105263157894735,38
6,qwen3527b,0.5263157894736842,38
6,qwen352b,0.5526315789473685,38
6,qwen354b,0.6842105263157895,38
6,qwen359b,0.5789473684210527,38
7,claudehaiku4520251001,0.7105263157894737,38
7,claudeopus47,1.0,38
7,claudesonnet46,0.9473684210526315,38
7,ministral14b,0.7105263157894737,38
7,ministral3b,0.6052631578947368,38
7,ministral8b,0.7105263157894737,38
7,qwen3508b,0.3684210526315789,38
7,qwen3527b,0.47368421052631576,38
7,qwen352b,0.5263157894736842,38
7,qwen354b,0.5526315789473685,38
7,qwen359b,0.47368421052631576,38
8,claudehaiku4520251001,0.7894736842105263,38
8,claudeopus47,0.9473684210526315,38
8,claudesonnet46,0.8157894736842105,38
8,ministral14b,0.631578947368421,38
8,ministral3b,0.6842105263157895,38
8,ministral8b,0.6842105263157895,38
8,qwen3508b,0.4473684210526316,38
8,qwen3527b,0.4473684210526316,38
8,qwen352b,0.6578947368421053,38
8,qwen354b,0.2894736842105263,38
8,qwen359b,0.39473684210526316,38
9,claudehaiku4520251001,0.7368421052631579,38
9,claudeopus47,0.9736842105263158,38
9,claudesonnet46,0.8421052631578947,38
9,ministral14b,0.631578947368421,38
9,ministral3b,0.5789473684210527,38
9,ministral8b,0.6052631578947368,38
9,qwen3508b,0.47368421052631576,38
9,qwen3527b,0.5,38
9,qwen352b,0.5526315789473685,38
9,qwen354b,0.631578947368421,38
9,qwen359b,0.6052631578947368,38
10,claudehaiku4520251001,0.7894736842105263,38
10,claudeopus47,0.9473684210526315,38
10,claudesonnet46,0.8421052631578947,38
10,ministral14b,0.5789473684210527,38
10,ministral3b,0.5789473684210527,38
10,ministral8b,0.42105263157894735,38
10,qwen3508b,0.2631578947368421,38
10,qwen3527b,0.47368421052631576,38
10,qwen352b,0.5526315789473685,38
10,qwen354b,0.39473684210526316,38
10,qwen359b,0.5526315789473685,38
