item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,original_id,order,pair_id,source,split,response_model,gold_label,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
5087:original,16.11383,17.178202,-16.11383,14.842422,factor_1,5087:original,5087,original,585e5a43-454b-56f7-aba3-fb4e22938020,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,1.8432889,1.8558865,13.540665,20.815739
4019:original,14.612394,15.676765,-14.612394,11.020636,factor_1,4019:original,4019,original,129dfd5d-5786-57e3-8548-df0d26a42659,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,1.7352457,1.7493396,12.24806,19.10547
7403:original,13.692614,14.756985,-13.692614,4.08298,factor_1,7403:original,7403,original,07019bab-fc3e-5c91-ac9c-36869cfe79b0,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,5.842958,5.8298483,3.3304815,26.183487
687:swapped,12.730572,13.794943,-12.730572,7.1620536,factor_1,687:swapped,687,swapped,6ad28b38-685f-5146-ab23-ff8fbcc81210,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,2.284309,2.291909,9.302801,18.287085
7623:original,12.604596,13.668967,-12.604596,7.133134,factor_1,7623:original,7623,original,3c6f3a85-c058-543a-8226-852972410970,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,2.268449,2.2762053,9.207605,18.13033
11421:swapped,12.570628,13.634999,-12.570628,9.485836,factor_1,11421:swapped,11421,swapped,bd2ab0d9-9fed-5c10-94a7-efa1750148f4,mmlu-pro-engineering,gpt,gpt-4o-2024-05-13,B>A,1.6100986,1.6261142,10.447815,16.822184
6105:swapped,12.43556,13.499931,-12.43556,7.0422115,factor_1,6105:swapped,6105,swapped,0cdc4e4b-d2a3-5218-b01a-c60f2e407d5e,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,2.2328544,2.2409658,9.107638,17.892223
6311:original,12.214879,13.27925,-12.214879,9.211215,factor_1,6311:original,6311,original,d61248f3-8e80-5097-8892-10c086a492d2,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,1.5894814,1.605836,10.131811,16.42669
6728:original,10.76253,11.826901,-10.76253,3.2048988,factor_1,6728:original,6728,original,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,3.571905,3.5699189,4.82986,18.823942
2416:swapped,10.658556,11.722927,-10.658556,3.18186,factor_1,2416:swapped,2416,swapped,c20860f9-7468-546b-ae86-4ae6a6493de9,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,3.510822,3.5092018,4.8448915,18.600964
3511:original,9.643201,10.707572,-9.643201,5.532967,factor_1,3511:original,3511,original,c7aaeea9-830b-56fc-b12c-23ca19c3bb29,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,1.7224636,1.7367438,7.303554,14.111589
12212:swapped,9.279431,10.343802,-9.279431,2.7613602,factor_1,12212:swapped,12212,swapped,c7bb7c2b-6fb2-5254-a773-9046ca946006,mmlu-pro-engineering,gpt,gpt-4o-2024-05-13,B>A,2.7882478,2.7915063,4.87245,15.815155
481:swapped,9.128463,10.192834,-9.128463,8.470815,factor_1,481:swapped,481,swapped,83ec31fe-5063-5c77-9b1e-0c32f113a042,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,1.5545279,1.5714734,7.1127462,13.272922
10479:swapped,9.045946,10.110317,-9.045946,6.7962813,factor_1,10479:swapped,10479,swapped,10c0a6e7-a697-5d79-ac6b-47ed30c4cba5,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,1.4159541,1.4354689,7.2967978,12.923837
11281:original,8.9601,10.024471,-8.9601,5.151292,factor_1,11281:original,11281,original,fb954577-c6d1-524a-bf7c-c64f0c005022,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,1.6163722,1.6322861,6.8251905,13.223752
5056:swapped,8.580419,9.64479,-8.580419,6.453716,factor_1,5056:swapped,5056,swapped,6ed13f8d-9733-5839-a628-22c6ec6c9f27,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,1.3907437,1.4107702,6.87968,12.409899
