item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,original_id,order,pair_id,source,split,response_model,gold_label,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
1748:swapped,15.00184,15.225542,-15.00184,-3.1895673,1.7127361,factor_1,1748:swapped,1748,swapped,2d989dfb-7cf0-549e-945c-3dd060d1fad5,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,5.8263164,5.812678,3.832693,26.618391
4789:swapped,12.894391,13.1180935,-12.894391,-0.28134474,4.5460057,factor_2,4789:swapped,4789,swapped,14ead85f-e4c6-5ae2-a586-6388d9b9b4f1,mmlu-pro-history,gpt,gpt-4o-2024-05-13,B>A,1.6423352,1.65573,9.872863,16.363325
3036:swapped,11.202228,11.42593,-11.202228,-4.990111,2.3780122,factor_1,3036:swapped,3036,swapped,3cbbae47-8be1-5e31-868b-3b61d51a777d,mmlu-pro-biology,gpt,gpt-4o-2024-05-13,B>A,3.5923626,3.5892844,4.3909326,18.460928
11220:swapped,10.934335,11.158037,-10.934335,-2.1776252,2.8191235,factor_2,11220:swapped,11220,swapped,2f665bcd-7aee-539b-9acf-142548185b64,mmlu-pro-philosophy,gpt,gpt-4o-2024-05-13,B>A,4.551722,4.5437136,2.2523584,20.063717
7450:swapped,10.444966,10.668669,-10.444966,-2.0722203,2.6941805,factor_2,7450:swapped,7450,swapped,f805817d-968d-5b0b-a2b2-4c62c9b848d3,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,4.1353846,4.1294127,2.5750198,18.762318
7568:original,10.367669,10.591372,-10.367669,7.7355204,1.6786132,factor_1,7568:original,7568,original,a5c0fd0a-7440-5461-9a32-c6c5ff574ae0,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,A>B,2.800514,2.802435,5.098599,16.084145
10565:original,10.111553,10.335256,-10.111553,-2.1708546,1.1722578,factor_1,10565:original,10565,original,07c3dda8-0f84-5624-9b4a-19ed31d85a2b,mmlu-pro-computer science,gpt,gpt-4o-2024-05-13,B>A,2.7681372,2.770292,4.9054832,15.765028
4771:swapped,9.916514,10.140217,-9.916514,5.2737703,2.30083,factor_1,4771:swapped,4771,swapped,2b51f48f-90d7-57f7-8888-30fd13c0d5ff,mmlu-pro-history,gpt,gpt-4o-2024-05-13,A>B,2.4482872,2.4529328,5.3324685,14.947966
2453:original,9.785443,10.009146,-9.785443,0.9675259,5.66627,factor_2,2453:original,2453,original,9536d58f-8a88-53be-b97e-45bb2d457c12,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,A>B,2.267773,2.2740033,5.552099,14.466192
1803:swapped,9.494599,9.718302,-9.494599,-8.655364,0.10563886,factor_1,1803:swapped,1803,swapped,01fb6121-e025-5251-a55f-f903c79e4ec6,mmlu-pro-law,gpt,gpt-4o-2024-05-13,B>A,1.8526031,1.8632077,6.066415,13.370189
9524:original,9.472297,9.695999,-9.472297,-0.10456901,1.3747305,factor_2,9524:original,9524,original,34e8d16b-9824-5373-b735-d25a3df21044,mmlu-pro-physics,gpt,gpt-4o-2024-05-13,B>A,3.347896,3.3462393,3.13737,16.254627
