item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,pair_id,source,split,gold_letter,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
7978,8.713128,8.12834,-8.713128,-8.822929,factor_1,7978,bd6f87f2-cb60-58b3-8b27-4eceab2bfc79,mmlu-pro-math,gpt,B,2.827072,2.8242736,2.5927634,13.663916
2934,8.517432,7.9326434,-8.517432,15.4637575,factor_1,2934,6c5f9b09-193f-5070-9dfd-2dee1f69a9a3,mmlu-pro-biology,gpt,F,3.8600297,3.8463368,0.39382315,15.471464
9524,7.1653695,6.5805807,-7.1653695,2.3339586,factor_1,9524,34e8d16b-9824-5373-b735-d25a3df21044,mmlu-pro-physics,gpt,I,13.3307,13.247175,-19.383884,32.545044
1330,6.544123,5.9593344,-6.544123,2.1324215,factor_1,1330,50e6565c-07f5-57d6-80d8-028498a1251b,mmlu-pro-law,gpt,H,8.84599,8.7933655,-11.275662,23.194332
6222,6.530421,5.945632,-6.530421,2.09914,factor_1,6222,1c76021c-cb8e-5477-8f7e-88855d6dd547,mmlu-pro-health,gpt,J,7.5585675,7.5151815,-8.784124,20.675388
3250,5.949252,5.3644633,-5.949252,1.9676685,factor_1,3250,49c0f568-1ac2-53dc-be78-f3eea93820fd,mmlu-pro-biology,gpt,J,5.9170647,5.8859954,-6.172088,16.901014
9158,5.91479,5.3300014,-5.91479,1.9789543,factor_1,9158,e3de7dfc-4b9e-5476-b7af-92d7d00bf2d3,mmlu-pro-physics,gpt,E,6.988963,6.9497643,-8.291536,18.95154
2256,5.8602962,5.2755075,-5.8602962,0.060052607,factor_1,2256,cc8d0d03-7d7e-5728-8bd6-fa03589c976d,mmlu-pro-psychology,gpt,J,6.0759935,6.0436935,-6.570132,17.121147
5056,5.7353296,5.150541,-5.7353296,1.8755919,factor_1,5056,6ed13f8d-9733-5839-a628-22c6ec6c9f27,mmlu-pro-history,gpt,A,5.3933187,5.3663864,-5.367577,15.668659
4891,5.6485405,5.0637517,-5.6485405,9.281514,factor_1,4891,d9cc990f-fb19-521e-a8fa-68f3325f8730,mmlu-pro-history,gpt,F,1.6935266,1.7084403,1.7152085,8.412294
6742,5.5847206,4.999932,-5.5847206,10.187636,factor_1,6742,ca91b783-54e9-5fb6-9c30-a7ebf3ee7258,mmlu-pro-health,gpt,I,2.352646,2.3560655,0.38204336,9.617821
3242,5.5797925,4.9950037,-5.5797925,9.146759,factor_1,3242,79d55355-34c0-5ba7-842e-65671b9858d9,mmlu-pro-biology,gpt,G,1.6789196,1.6941507,1.6744683,8.315539
1097,5.5279675,4.9431787,-5.5279675,1.8261837,factor_1,1097,138e503c-b09d-5d19-82ff-0b5ddc3e7bf6,mmlu-pro-law,gpt,A,4.940561,4.917329,-4.6947856,14.581142
