item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,pair_id,source,split,gold_letter,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi
5145,6.74532,7.1522865,-6.74532,7.541896,8.454601,factor_2,5145,b1614f17-39fb-564a-84c7-bcd7a2054dc8,mmlu-pro-other,gpt,A,1.785577,1.8952713,3.4375546,10.867019
5056,6.0502872,6.457254,-6.0502872,-1.5584296,0.605362,factor_1,5056,6ed13f8d-9733-5839-a628-22c6ec6c9f27,mmlu-pro-history,gpt,A,8.6461115,8.615659,-10.429438,23.343946
12212,5.982089,6.3890557,-5.982089,1.9147121,0.32753763,factor_1,12212,c7bb7c2b-6fb2-5254-a773-9046ca946006,mmlu-pro-engineering,gpt,J,1.2316234,1.3936896,3.657424,9.1206875
8312,5.801147,6.2081137,-5.801147,-0.2535947,1.2902013,factor_2,8312,405f3561-1bb7-56f5-88a2-c28cec94c5d4,mmlu-pro-math,gpt,B,6.789119,6.7778096,-7.076393,19.49262
7584,5.665663,6.0726295,-5.665663,0.499455,0.5519557,factor_2,7584,766bdf22-3677-53bf-9c46-4fb984430682,mmlu-pro-economics,gpt,J,4.3233356,4.346684,-2.4468713,14.592131
9158,5.366946,5.773913,-5.366946,-1.9706386,0.10110384,factor_1,9158,e3de7dfc-4b9e-5476-b7af-92d7d00bf2d3,mmlu-pro-physics,gpt,E,7.2500734,7.233678,-8.404097,19.951921
6728,5.3662167,5.7731833,-5.3662167,-0.10248465,-0.07796267,factor_1,6728,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,gpt,D,4.8407793,4.8553057,-3.743216,15.289583
2256,4.944778,5.3517447,-4.944778,-0.10281985,-0.07802137,factor_1,2256,cc8d0d03-7d7e-5728-8bd6-fa03589c976d,mmlu-pro-psychology,gpt,J,3.931023,3.961998,-2.4137716,13.117261
1330,4.8668118,5.2737784,-4.8668118,-1.2135713,0.5029247,factor_1,1330,50e6565c-07f5-57d6-80d8-028498a1251b,mmlu-pro-law,gpt,H,5.8181186,5.818596,-6.13067,16.678226
7568,4.7672586,5.1742253,-4.7672586,-1.6347384,-1.5263202,factor_1,7568,a5c0fd0a-7440-5461-9a32-c6c5ff574ae0,mmlu-pro-economics,gpt,D,2.2249665,2.3089736,0.6486373,9.699814
