difficulty_bin,judge_model,judge_score_mean,n_items
1,claude_haiku_4_5_20251001,0.6875,16
1,claude_sonnet_4_6,0.875,16
1,mistralai_ministral_3_14b_instruct_2512_bf16,0.625,16
1,mistralai_ministral_3_3b_instruct_2512_bf16,0.53125,16
1,mistralai_ministral_3_8b_instruct_2512_bf16,0.71875,16
1,qwen_qwen3_5_0_8b,0.59375,16
1,qwen_qwen3_5_27b,0.8125,16
1,qwen_qwen3_5_2b,0.53125,16
1,qwen_qwen3_5_4b,0.59375,16
1,qwen_qwen3_5_9b,0.6875,16
2,claude_haiku_4_5_20251001,0.8666666666666667,15
2,claude_sonnet_4_6,1.0,15
2,mistralai_ministral_3_14b_instruct_2512_bf16,0.7,15
2,mistralai_ministral_3_3b_instruct_2512_bf16,0.8,15
2,mistralai_ministral_3_8b_instruct_2512_bf16,0.8,15
2,qwen_qwen3_5_0_8b,0.5666666666666667,15
2,qwen_qwen3_5_27b,1.0,15
2,qwen_qwen3_5_2b,0.6333333333333333,15
2,qwen_qwen3_5_4b,0.8,15
2,qwen_qwen3_5_9b,0.8333333333333334,15
3,claude_haiku_4_5_20251001,0.8333333333333334,15
3,claude_sonnet_4_6,0.8666666666666667,15
3,mistralai_ministral_3_14b_instruct_2512_bf16,0.7666666666666667,15
3,mistralai_ministral_3_3b_instruct_2512_bf16,0.8333333333333334,15
3,mistralai_ministral_3_8b_instruct_2512_bf16,0.8,15
3,qwen_qwen3_5_0_8b,0.7333333333333333,15
3,qwen_qwen3_5_27b,0.8666666666666667,15
3,qwen_qwen3_5_2b,0.6333333333333333,15
3,qwen_qwen3_5_4b,0.8333333333333334,15
3,qwen_qwen3_5_9b,0.7666666666666667,15
4,claude_haiku_4_5_20251001,0.6875,16
4,claude_sonnet_4_6,0.90625,16
4,mistralai_ministral_3_14b_instruct_2512_bf16,0.6875,16
4,mistralai_ministral_3_3b_instruct_2512_bf16,0.625,16
4,mistralai_ministral_3_8b_instruct_2512_bf16,0.6875,16
4,qwen_qwen3_5_0_8b,0.65625,16
4,qwen_qwen3_5_27b,0.75,16
4,qwen_qwen3_5_2b,0.5625,16
4,qwen_qwen3_5_4b,0.625,16
4,qwen_qwen3_5_9b,0.6875,16
5,claude_haiku_4_5_20251001,0.6666666666666666,15
5,claude_sonnet_4_6,0.7666666666666667,15
5,mistralai_ministral_3_14b_instruct_2512_bf16,0.4666666666666667,15
5,mistralai_ministral_3_3b_instruct_2512_bf16,0.6333333333333333,15
5,mistralai_ministral_3_8b_instruct_2512_bf16,0.4666666666666667,15
5,qwen_qwen3_5_0_8b,0.5333333333333333,15
5,qwen_qwen3_5_27b,0.8666666666666667,15
5,qwen_qwen3_5_2b,0.5333333333333333,15
5,qwen_qwen3_5_4b,0.5666666666666667,15
